"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","logCPM","PValue","FDR"
"60","GB44937",212,108,341,335,322,264,263,220,191,248,205,137,1.14641551758397,5.01645883511122,7.35789267073529e-06,0.00105779512450321
"61","GB55298",3248,5350,2598,6953,3371,1939,1958,2838,3483,1552,1797,1517,1.96839211962671,8.95863566851069,7.59570366035265e-06,0.00105779512450321
"62","GB41733",950,1190,850,2376,971,628,648,978,956,484,596,510,1.75520088298926,7.14893508334385,7.89886991302326e-06,0.00106736976291678
"63","GB50086",50,26,45,82,62,43,36,57,29,27,30,27,1.43484784522103,2.62093888038378,7.91574986035989e-06,0.00106736976291678
"64","GB55429",47,26,82,72,68,100,144,191,263,250,314,311,-1.02831072272985,4.07966027509836,8.68628779083893e-06,0.00115296898098714
"65","GB48922",950,761,839,1737,1064,603,671,889,793,485,518,254,1.67260750443343,6.89462626220904,9.16448233902966e-06,0.00117957996166753
"66","GB51732",6,1,70,55,28,70,216,375,168,139,452,170,-2.07117373007989,3.89737806239438,9.0305897782445e-06,0.00117957996166753
"67","GB40810",105,162,158,432,184,210,103,170,212,178,238,116,1.23512138081871,4.68455882931955,1.04701112578299e-05,0.00127369741562043
"68","GB45122",189,149,204,335,192,264,185,236,201,211,188,112,1.13700069033317,4.83073979475405,1.04336297399621e-05,0.00127369741562043
"69","GB50870",534,866,670,1540,629,544,512,690,633,380,523,447,1.59964804211344,6.64381577893485,1.02956683867252e-05,0.00127369741562043
"70","GB52106",10,3,25,27,26,52,36,49,150,171,241,220,-1.79511819616633,3.09343638161467,1.04954466266545e-05,0.00127369741562043
"71","GB44892",67,95,88,100,122,62,40,98,82,69,45,36,1.56894143267656,3.50575056063274,1.08452552398706e-05,0.00129217943284724
"72","GB55782",3519,7611,2358,8725,3295,1651,1947,2998,3408,1314,1850,1877,2.2225112335433,9.19321365847679,1.09519622324899e-05,0.00129217943284724
"73","GB41727",38,6,48,55,38,122,109,176,251,221,427,278,-1.45344837002989,3.91615352222696,1.16617852097381e-05,0.00132031401137668
"74","GB44100",2313,908,17326,12319,9879,31274,70297,116602,49493,60551,150525,71247,-2.19195778884679,12.2507257621088,1.19675313567986e-05,0.00132031401137668
"75","GB44608",3002,5162,2468,12304,3675,2373,1884,3363,4150,1517,2536,1917,1.94003215825189,9.14070751510327,1.1359029086576e-05,0.00132031401137668
"76","GB49732",29,13,70,42,68,121,98,99,493,332,525,338,-1.59245414934644,4.20152913134038,1.1766823640698e-05,0.00132031401137668
"77","GB55809",47,21,107,78,137,175,264,218,500,364,547,397,-1.2073271448192,4.63433218658894,1.19131483224586e-05,0.00132031401137668
"78","GB49900",17,9,27,13,10,27,30,45,224,94,153,155,-1.75738564079168,2.79098233451939,1.21448346557206e-05,0.0013226970564147
"79","GB53032",369,525,524,842,593,395,373,519,527,403,362,191,1.44987570922614,6.1059201882453,1.23982322580599e-05,0.00133320231686353
"80","GB40504",28,12,55,81,68,113,109,148,304,230,366,359,-1.28775463587659,4.01233016518462,1.36630477711252e-05,0.00133881217472705
"81","GB41629",28,10,27,31,27,52,67,76,135,151,174,172,-1.26283072482135,3.1018692409896,1.30881882242329e-05,0.00133881217472705
"82","GB41894",23,8,39,39,70,108,105,144,281,179,326,306,-1.42646029885962,3.80411788203375,1.35278402987712e-05,0.00133881217472705
"83","GB44701",27,31,37,39,36,45,22,31,26,37,27,16,1.37277368886677,2.18294423217759,1.2644629597494e-05,0.00133881217472705
"84","GB45967",30,10,55,34,46,106,79,109,260,258,392,388,-1.56228745110461,3.90564304886354,1.29786802211303e-05,0.00133881217472705
"85","GB48658",15,3,20,33,39,41,41,53,209,149,222,164,-1.6204104436294,3.06966997317632,1.37112017894354e-05,0.00133881217472705
"86","GB48835",254,305,294,471,226,249,230,322,265,214,234,171,1.33627851988271,5.30797025637066,1.30374884865005e-05,0.00133881217472705
"87","GB51058",109,18,143,212,153,189,245,335,1385,551,1034,598,-1.46559239508083,5.34696952828355,1.3479084416037e-05,0.00133881217472705
"88","GB42018",147,115,206,242,194,144,170,159,108,147,115,145,1.19742741156862,4.48189217383555,1.47140914256136e-05,0.00134259686372635
"89","GB44600",224,230,252,589,280,230,230,293,300,224,255,221,1.17576883400628,5.26945106065014,1.48562807757831e-05,0.00134259686372635
"90","GB45138",65,19,117,100,89,286,200,271,647,519,820,1010,-1.57696547554485,5.10922601400194,1.39159131411424e-05,0.00134259686372635
"91","GB46534",363,791,485,1740,370,490,230,538,707,288,488,311,1.77279117857197,6.39967142037638,1.43243323050743e-05,0.00134259686372635
"92","GB50406",44,10,56,47,62,135,126,145,341,236,458,382,-1.42078890946941,4.12057657395263,1.43388376931628e-05,0.00134259686372635
"93","GB53962",8,3,6,10,6,32,16,35,65,94,164,89,-1.95740576772846,2.20224652588916,1.45490084162673e-05,0.00134259686372635
"94","GB55411",174,88,213,237,254,347,625,464,905,989,1081,824,-1.02727080428094,5.79536524929362,1.45685017299924e-05,0.00134259686372635
"95","GB48238",38,7,61,70,80,127,146,179,323,273,392,317,-1.30697295093017,4.11941953382052,1.55100509258042e-05,0.00134570516830545
"96","GB49872",46,8,45,49,51,89,94,116,307,210,396,245,-1.36647581010247,3.82505406066329,1.56827323910818e-05,0.00134570516830545
"97","GB51548",25,4,25,27,30,78,49,93,151,175,409,286,-1.78327337892416,3.49801557289752,1.5418659056599e-05,0.00134570516830545
"98","GB54691",539,879,717,1959,715,741,572,798,770,517,673,401,1.53733021677553,6.81602100114489,1.52693007842572e-05,0.00134570516830545
"99","GB54735",23,60,148,160,227,445,765,957,726,523,2262,833,-1.75906095635734,5.88714562394881,1.56124315974143e-05,0.00134570516830545
"100","GB44931",190,214,220,640,240,210,224,257,302,167,203,153,1.29745480248129,5.13523657828824,1.62946256003391e-05,0.0013842284447488
"101","GB42615",464,661,412,1167,471,365,448,528,432,232,336,280,1.65934455932803,6.21490150909243,1.69885560067183e-05,0.00138671188919725
"102","GB44158",9,6,16,14,20,17,36,33,108,67,66,156,-1.60391068904249,2.32463306433902,1.65329238345446e-05,0.00138671188919725
"103","GB46196",62,22,71,105,93,171,157,192,462,400,540,398,-1.19286892047602,4.52733725675129,1.70062743001602e-05,0.00138671188919725
"104","GB48956",9813,19572,6637,15708,10661,4239,5680,7514,9317,3930,4751,5064,2.1218488694149,10.5521696367375,1.73856559868184e-05,0.00138671188919725
"105","GB51430",124,215,108,441,140,109,91,131,199,105,119,134,1.58825603034538,4.56525657319555,1.72299799984982e-05,0.00138671188919725
"106","GB51967",9,1,14,13,11,19,33,39,52,52,59,74,-1.37240980210566,1.84122376789244,1.74665299757629e-05,0.00138671188919725
"107","GB54738",8,0,8,11,20,24,30,30,103,66,136,78,-1.7861293799187,2.17198274944637,1.71999042442767e-05,0.00138671188919725
"108","GB45208",211,224,181,503,228,134,175,255,221,114,127,111,1.52843990864549,4.9382665156885,1.80049307637461e-05,0.00141622117442614
"109","GB43575",51,25,158,150,114,311,255,375,488,732,1443,674,-1.51832534987976,5.30330865460878,1.82245011947896e-05,0.00142034071238292
"110","GB40129",17,10,13,16,16,30,43,55,87,87,102,103,-1.30334003533066,2.43452199758156,1.91949126086619e-05,0.00144443428258481
"111","GB41680",36,40,67,73,58,207,155,174,447,459,612,505,-1.423915885374,4.59260547787836,1.93738008712529e-05,0.00144443428258481
"112","GB44068",245,330,231,408,240,234,195,273,282,229,249,199,1.31967378035934,5.26610932465508,1.93824054340011e-05,0.00144443428258481
"113","GB45629",5611,9722,5301,17537,6774,4700,4675,5870,7459,3471,4871,3743,1.7768086070801,10.0012426146657,1.91065707510443e-05,0.00144443428258481
"114","GB47956",38,16,48,40,54,38,105,97,239,168,235,154,-1.14939160300228,3.47451972864113,1.98540030932284e-05,0.00144443428258481
"115","GB48958",4127,6206,3356,10660,4285,2668,2823,4248,4591,1914,2495,2206,1.84042226254203,9.34170863968327,1.9641008497792e-05,0.00144443428258481
"116","GB50020",26,8,51,51,47,91,85,104,243,233,375,203,-1.35020722013901,3.69860179206329,2.00639488340209e-05,0.00144443428258481
"117","GB53931",126,49,175,173,218,251,416,348,851,553,739,765,-1.03166816374553,5.36883042527489,1.95597457153448e-05,0.00144443428258481
"118","GB54301",3976,5394,3266,10685,4385,3034,2940,4283,4361,1975,2928,2369,1.72591282529755,9.29844422330612,1.99131108444761e-05,0.00144443428258481
"119","GB45933",48,105,112,259,86,94,81,83,120,78,80,66,1.39393597368431,3.83434806453654,2.02520732804944e-05,0.0014457257354437
"120","GB41625",676,179,417,780,498,1292,1659,2432,3140,2692,3991,4998,-1.45900959216258,7.60690117561122,2.10696205798655e-05,0.00147401791277574
"121","GB45545",1776,2602,1477,5904,1841,1335,1197,1879,2418,1079,1329,982,1.77377274577211,8.22822930500891,2.09029054892494e-05,0.00147401791277574
"122","GB51118",533,990,733,1682,785,629,580,826,723,501,565,399,1.5841209199853,6.80982076217563,2.11689447155551e-05,0.00147401791277574
"123","GB43612",9,1,14,8,8,28,24,33,67,68,118,81,-1.66248025920613,2.04640255642521,2.14998183508766e-05,0.00148488582837965
"124","GB41068",833,1051,947,2007,859,774,740,1010,867,579,707,608,1.50933319169433,7.08535980824058,2.19167589871026e-05,0.00150147473867287
"125","GB45434",319,829,379,1378,374,275,238,411,620,251,341,294,1.84615825852163,6.21827519224942,2.24641326101856e-05,0.00152666245218822
"126","GB53016",35,6,46,41,46,68,68,109,212,200,280,263,-1.36797154946289,3.57889169326818,2.27738078918401e-05,0.00153542458762843
"127","GB43407",20,3,14,8,18,33,52,46,83,99,145,91,-1.52698142269895,2.47248379497502,2.29641396762893e-05,0.00153606587834707
"128","GB43187",2096,3169,2175,5955,2419,1492,1818,2221,2520,1053,1569,1491,1.72489578645222,8.48109734300654,2.34119735147639e-05,0.00155378683599937
"129","GB44630",4,3,8,16,5,11,29,36,43,30,38,44,-1.38984291863921,1.40379062898781,2.43866246549267e-05,0.00158140745376796
"130","GB46725",11,5,23,21,20,44,41,36,97,149,165,190,-1.62194910004353,2.81691728051578,2.43602183546263e-05,0.00158140745376796
"131","GB52002",18,6,10,24,28,23,44,79,131,64,79,106,-1.3140785109742,2.4966670517337,2.40527977576118e-05,0.00158140745376796
"132","GB41904",11,14,30,36,34,38,111,199,126,62,111,116,-1.34348496901434,3.05127855803116,2.56777934856346e-05,0.00164653646016067
"133","GB42303",10,6,12,18,7,35,47,39,57,131,99,79,-1.53061533902013,2.3174666339758,2.57786167394196e-05,0.00164653646016067
"134","GB53090",355,544,499,1277,536,543,487,560,505,441,455,361,1.33824455911812,6.28140089545063,2.60185195031174e-05,0.00164945763566405
"135","GB48338",180,128,291,419,281,305,304,243,168,167,209,212,1.09105303190716,5.0401349806448,2.65856938645692e-05,0.00166062845131996
"136","GB50167",523,860,467,1328,543,426,418,643,597,352,452,341,1.63740378156392,6.4806223886833,2.65246334503855e-05,0.00166062845131996
"137","GB48610",1585,3209,1089,4341,1616,1263,1062,1741,1917,923,1102,1061,1.88486190981339,8.13963971946864,2.74069818767336e-05,0.00168650886678119
"138","GB53935",155,295,184,374,161,154,192,194,180,108,123,120,1.58511959103864,4.86174539533302,2.7372606313157e-05,0.00168650886678119
"139","GB55038",81,74,127,189,95,118,92,121,113,100,111,78,1.04505586925105,3.88048123874543,2.75956130056016e-05,0.00168650886678119
"140","GB45476",3988,5063,3440,9273,4590,2223,2635,3835,4736,1963,2592,2485,1.69891288146743,9.21883759479097,2.94336317276132e-05,0.00178599072518624
"141","GB41741",108,386,120,496,178,134,69,216,210,130,131,116,1.8698769936816,4.93586867108504,3.00806427958895e-05,0.00179264550959294
"142","GB43579",46,28,179,233,109,313,249,278,888,1194,1015,885,-1.56727716316778,5.4851424441656,3.01763752644838e-05,0.00179264550959294
"143","GB50413",168,384,222,525,255,261,133,259,319,266,313,159,1.42460994325602,5.32350987451952,3.00381994344933e-05,0.00179264550959294
"144","GB46689",66,33,138,153,134,250,238,273,653,548,659,524,-1.08953515871252,4.9907818420846,3.06538575646381e-05,0.00180836472230279
"145","GB45610",220,157,227,273,414,222,241,259,232,218,192,173,1.11137056454697,5.03970359354823,3.14552858540266e-05,0.00184284588503418
"146","GB42017",321,248,432,617,468,435,400,404,483,364,434,334,0.954242313125113,5.7861306706291,3.26650170070049e-05,0.00187492783428721
"147","GB45131",8,3,15,22,27,42,39,50,92,121,158,100,-1.44974596538327,2.58468914541363,3.24798071698964e-05,0.00187492783428721
"148","GB53037",874,1610,1109,3400,998,797,933,1099,1248,573,790,726,1.71195447218683,7.48186923374907,3.24325040939648e-05,0.00187492783428721
"149","GB45593",10,13,42,45,47,76,96,72,228,186,248,196,-1.31633326727494,3.45752526496949,3.29860361348026e-05,0.00188064682526945
"150","GB52258",247,224,430,596,295,310,216,363,367,362,335,318,1.01510579691773,5.50897925505756,3.33963366284569e-05,0.00189134586439161
"151","GB53568",14745,23289,13000,37341,16805,7981,11359,14769,15791,6011,8704,9035,1.85513027755395,11.2097599982809,3.38179214030699e-05,0.00190253802860317
"152","GB51330",3561,5889,3160,10522,4039,2866,2926,3893,4591,1945,3043,2558,1.71982251101427,9.2933715671403,3.4362281878003e-05,0.00192044463522129
"153","GB50352",356,459,488,1083,459,528,386,489,614,500,495,402,1.17053479010051,6.17072374266503,3.4845576890708e-05,0.00193472663847428
"154","GB53955",180,211,260,493,243,200,204,287,287,213,224,175,1.12932419290075,5.10526989404559,3.56863961599214e-05,0.00196854503492553
"155","GB48484",1020,1726,973,2593,1047,854,894,1207,1168,558,758,719,1.6975023595735,7.45807272320913,3.60173036464928e-05,0.00197398060952875
"156","GB41161",319,306,293,666,308,321,348,369,351,223,313,227,1.2199445974654,5.58248433789446,3.93372193896705e-05,0.00199966408854612
"157","GB42013",106,112,107,228,151,95,102,123,148,118,121,86,1.1658122695328,4.13189130940911,3.7134340579493e-05,0.00199966408854612
"158","GB44586",250,396,292,953,303,262,282,362,399,253,255,226,1.4289052146067,5.67249991485724,3.76511024255105e-05,0.00199966408854612
"159","GB46478",47,29,75,65,114,155,180,185,459,332,350,361,-1.08848975055989,4.38016911105111,3.91421136714159e-05,0.00199966408854612
"160","GB47473",1334,2653,1397,3590,1630,1151,1304,1608,1662,953,1043,1032,1.71576599036953,7.99308393546325,3.9184504898466e-05,0.00199966408854612
"161","GB47597",95,78,149,216,98,69,91,112,101,99,88,86,1.1959842444561,3.90137044161689,3.95460349471158e-05,0.00199966408854612
"162","GB52095",8,11,17,21,22,28,49,51,82,107,81,86,-1.21876561361838,2.40797970437412,3.80529483374709e-05,0.00199966408854612
"163","GB52712",5,0,11,6,19,25,30,28,80,66,113,72,-1.73011506372546,2.02463335906861,3.78567964559827e-05,0.00199966408854612
"164","GB54095",47,13,32,33,62,95,112,131,259,216,247,251,-1.23307165083865,3.73669686993908,3.93922358727066e-05,0.00199966408854612
"165","GB54295",16,4,15,21,10,32,37,43,86,67,116,122,-1.39296214646763,2.37355836139795,3.7807198423545e-05,0.00199966408854612
"166","GB54484",265,238,331,643,317,310,274,330,402,314,374,299,1.00241867643907,5.524331964333,3.90954523225849e-05,0.00199966408854612
"167","GB55183",10,6,26,38,14,41,45,65,116,88,139,116,-1.25073408343422,2.66081894348058,3.6968875174134e-05,0.00199966408854612
"168","GB55895",2065,3602,1573,5251,2361,1377,1464,2301,2511,998,1563,1231,1.79983371857977,8.44022848566541,3.93021945042058e-05,0.00199966408854612
"169","GB41213",192,130,200,379,218,238,199,254,257,182,228,162,0.970731887636803,4.88329775775027,4.00958376898928e-05,0.00200641343977475
"170","GB50210",561,652,520,1323,601,389,510,562,706,331,363,411,1.48651686945566,6.41812792811879,4.0151887552879e-05,0.00200641343977475
"171","GB54151",122,50,135,141,204,333,275,330,1017,660,1374,781,-1.27530776147671,5.50970959944455,4.1025985700054e-05,0.00203810379252607
"172","GB47181",3104,5503,3178,11042,4076,2147,2465,3644,4787,1827,2841,2170,1.76288220823795,9.21578279623655,4.15029577894778e-05,0.00204981178152101
"173","GB45733",47,19,38,57,64,157,99,179,409,211,491,415,-1.37409014070208,4.21312131946378,4.17465913302323e-05,0.00204992655115794
"174","GB45732",227,100,147,211,213,257,571,599,847,660,888,942,-1.02326988534325,5.69121886980452,4.31190995375374e-05,0.00206947316706995
"175","GB50690",57,46,143,160,163,310,291,350,811,512,637,681,-1.09813232248597,5.17508468659225,4.30162039678153e-05,0.00206947316706995
"176","GB51814",116,56,905,758,436,1330,2646,2493,3974,739,8756,8361,-2.21446323593958,7.92423816356637,4.30408358322109e-05,0.00206947316706995
"177","GB54884",21,16,25,31,29,131,67,85,213,411,436,320,-1.77043804037773,3.90149525892589,4.30599184359846e-05,0.00206947316706995
"178","GB53396",25,13,39,37,43,77,60,80,231,154,308,282,-1.3638760627721,3.54053606175877,4.39310969738259e-05,0.00209659926288006
"179","GB46254",388,477,475,1078,539,329,382,465,628,421,472,268,1.3030428005081,6.12854132493828,4.43225058979476e-05,0.00210346194191656
"180","GB49469",15,6,17,35,24,41,59,63,98,98,98,112,-1.12046352622125,2.62612223818787,4.46414658356782e-05,0.00210682917930048
"181","GB40423",52,45,73,130,64,74,63,60,54,76,69,38,1.14842834784113,3.1960002085147,4.53902245044386e-05,0.00211862613827036
"182","GB40686",260,289,295,816,290,323,277,365,439,277,313,236,1.1778140802476,5.58342030046232,4.53149542541979e-05,0.00211862613827036
"183","GB47541",276,757,596,358,175,404,431,183,157,114,365,156,2.0333589614391,5.84449964018101,4.57430605345153e-05,0.00212342786470332
"184","GB54344",339,424,371,967,364,455,420,472,456,301,349,323,1.26208274490783,5.95431373029079,4.63170040708145e-05,0.00213838559555201
"185","GB53206",60,23,71,57,72,163,139,137,414,394,481,414,-1.27287659034741,4.38896080877559,4.68241006144591e-05,0.00215011207956665
"186","GB55509",11,2,23,40,45,25,101,108,138,112,170,49,-1.44129934294738,2.88500596747881,4.8348649023029e-05,0.00220818157769157
"187","GB52783",771,1259,847,2614,828,964,744,1070,995,724,921,691,1.49509985881088,7.24776019891327,4.88032939039075e-05,0.00221702664018018
"188","GB50408",2045,3932,2168,8499,2034,1462,1386,2556,3299,1338,1990,1168,1.84046066960325,8.66690224529282,4.90902380101944e-05,0.00221724755084811
"189","GB54964",881,2133,826,2987,1144,647,634,1172,1428,600,789,612,1.86828454932704,7.53275053456953,4.93301691713117e-05,0.00221724755084811
"190","GB49788",241,251,359,596,394,387,355,353,424,319,342,165,1.0818192749716,5.57138072156591,5.06785712458195e-05,0.00226586559333283
"191","GB44178",16,9,44,24,26,67,46,67,229,144,209,277,-1.52299067455992,3.31557737655734,5.12250356716541e-05,0.00227830721482043
"192","GB49085",209,342,271,447,250,250,305,290,201,193,200,160,1.38806610741528,5.29338709074705,5.28149395172494e-05,0.0023367859958283
"193","GB41082",20,19,78,98,61,106,124,164,329,234,407,216,-1.12753302102867,4.00995179834528,5.36868595881524e-05,0.00234271573831391
"194","GB44962",18,5,14,25,32,33,46,49,160,78,201,88,-1.3740467199531,2.71368751285062,5.3776288283839e-05,0.00234271573831391
"195","GB51625",138,120,196,227,157,216,199,178,106,145,130,105,1.15036268423387,4.49287863490765,5.35781595088093e-05,0.00234271573831391
"196","GB40647",11,2,27,14,19,50,52,36,169,95,178,123,-1.57536422955983,2.74424922581716,5.42832332655955e-05,0.00235273503362874
"197","GB40546",45,109,52,107,63,39,50,60,42,47,46,36,1.67375119590628,3.2044239222944,5.75490415321191e-05,0.00247459144785101
