"","ID","NP.1","NP.3","NP.5","NS.1","NS.2","NS.6","NP.2","NP.4","NP.6","NS.3","NS.4","NS.5","logFC","logCPM","PValue","FDR"
"38","GB40504",28,12,55,81,68,113,109,148,304,230,366,359,-0.693375781594015,4.01233016518462,0.0156657726908546,0.796906866109146
"39","GB40531",29,9,21,43,36,42,74,92,176,131,196,208,-0.43775050071935,3.22962003138108,0.101366618042124,0.796906866109146
"40","GB40540",43,16,139,105,76,173,97,129,257,289,292,226,-0.486154455977883,4.08178979981837,0.108529243607177,0.796906866109146
"41","GB40546",45,109,52,107,63,39,50,60,42,47,46,36,0.888478845881863,3.2044239222944,0.0288317139624231,0.796906866109146
"42","GB40600",42,27,45,63,53,32,50,93,80,33,30,57,0.663145816274962,2.74730739856435,0.0525504220956085,0.796906866109146
"43","GB40603",97,49,116,152,162,362,213,242,447,580,737,377,-0.701101401993034,4.99214906198967,0.0144634337053664,0.796906866109146
"44","GB40615",72,27,72,170,139,208,171,310,330,570,929,232,-0.877938195591306,4.80060021869548,0.00750274376219556,0.796906866109146
"45","GB40626",651,2767,760,890,1628,733,604,3145,4347,763,1233,3107,1.15020904333588,7.92539647349171,0.0445751406632264,0.796906866109146
"46","GB40657",39,12,62,64,91,93,112,106,280,197,269,236,-0.422096012143966,3.80727403311232,0.115237956386908,0.796906866109146
"47","GB40676",36,20,55,59,51,166,88,111,282,247,372,245,-0.680882630834185,3.92718791262029,0.0311948302948001,0.796906866109146
"48","GB40684",359,22,437,393,1394,403,568,218,196,458,2000,189,-0.970482937942353,6.05025704852186,0.0940535765177034,0.796906866109146
"49","GB40750",8,9,17,21,15,44,28,42,102,93,136,67,-0.580822755499805,2.40032570187324,0.0744435499204407,0.796906866109146
"50","GB40765",200,120,346,461,363,493,618,584,955,994,1089,1239,-0.398811328694574,6.09900582313487,0.101373314288668,0.796906866109146
"51","GB40769",1784,353,2810,4024,2480,5002,1176,3351,4022,3608,7681,4040,-0.651955012086134,8.57597222639786,0.0843246232044554,0.796906866109146
"52","GB40771",15,20,38,94,44,94,46,32,138,98,121,127,-0.731683529671693,3.05932846623144,0.034785541289279,0.796906866109146
"53","GB40772",9,4,14,32,6,27,9,32,51,42,122,100,-1.10431617430773,2.03942965015752,0.0120429060234579,0.796906866109146
"54","GB40773",230,73,280,371,186,404,264,568,579,685,1132,1009,-0.511838022060207,5.718968744661,0.0757614630811699,0.796906866109146
"55","GB40808",180,106,347,433,518,954,659,882,2519,1305,1903,2452,-0.587008729104563,6.70190481281648,0.0874674877103619,0.796906866109146
"56","GB40824",88,70,134,188,116,671,137,221,287,271,386,297,-0.686998077036098,4.81579246878565,0.0447395779484196,0.796906866109146
"57","GB40827",59,62,101,101,73,77,85,71,62,44,22,51,0.757122087672292,3.30298756434143,0.0300712928430539,0.796906866109146
"58","GB40830",12,8,24,41,34,41,34,44,93,46,138,74,-0.515171689796004,2.46699492428945,0.0830022883980079,0.796906866109146
"59","GB40838",10,3,41,61,69,117,60,80,194,173,219,104,-0.865595684887277,3.32621825215904,0.0314956354572639,0.796906866109146
"60","GB40871",37,5,10,19,19,38,43,42,74,78,134,157,-0.628199142611017,2.61430683245419,0.11388624242086,0.796906866109146
"61","GB40884",297,196,426,523,381,347,460,472,499,415,399,354,0.382315380237282,5.69279527936416,0.111788564359447,0.796906866109146
"62","GB40885",620,1130,581,716,932,652,1307,1104,958,856,816,917,0.881604070811068,6.9998332383231,0.0278825548978994,0.796906866109146
"63","GB40886",214,265,300,563,307,264,265,390,388,273,316,190,0.441382762545301,5.41845679995129,0.110434937881338,0.796906866109146
"64","GB40904",254,675,188,437,277,251,410,448,366,286,297,272,1.18064826397504,5.78079533204626,0.00740042331808967,0.796906866109146
"65","GB40905",155,15,86,145,147,364,191,449,344,830,1133,402,-0.927078832118357,5.20517355832114,0.0223805123409701,0.796906866109146
"66","GB40908",81,96,52,54,73,63,92,181,166,123,96,180,0.75137185440358,3.79274354531486,0.0437301491643226,0.796906866109146
"67","GB40948",100,37,239,290,157,235,188,228,552,487,762,398,-0.491871275402922,5.04787351403062,0.0810720761289802,0.796906866109146
"68","GB40975",34,149,18,20,37,41,37,142,177,42,31,113,1.68657406400667,3.38077491182324,0.00813206481570512,0.796906866109146
"69","GB40977",167,90,433,377,376,874,681,643,1105,1285,1518,761,-0.47584589530347,6.22343204612785,0.116348094243661,0.796906866109146
"70","GB40980",97,42,82,236,260,257,221,316,391,353,834,394,-0.735396947925331,4.97842121321018,0.0114554391668749,0.796906866109146
"71","GB41000",202,690,130,184,374,182,659,510,422,370,367,526,1.17592710809894,5.86101509364905,0.021699330630842,0.796906866109146
"72","GB41035",19,12,44,44,36,53,42,49,128,117,162,96,-0.463566774640273,2.89801954466045,0.105123733901757,0.796906866109146
"73","GB41044",8,2,15,48,10,40,17,19,45,36,54,40,-0.862411850025758,1.73694385461351,0.0243873575896015,0.796906866109146
"74","GB41064",31,5,18,27,16,115,31,32,78,161,363,46,-1.42064522666567,3.01067694693757,0.00990515076270479,0.796906866109146
"75","GB41065",651,111,422,776,463,1626,974,790,1206,2438,4418,971,-0.894197787913106,7.0390602711936,0.0362068465664496,0.796906866109146
"76","GB41068",833,1051,947,2007,859,774,740,1010,867,579,707,608,0.624203499075541,7.08535980824058,0.0738727450913843,0.796906866109146
"77","GB41075",27,17,67,66,56,97,80,104,252,217,288,168,-0.44609870309099,3.68041999328886,0.0973725917335238,0.796906866109146
"78","GB41119",98,76,264,256,277,385,331,428,933,710,905,797,-0.418052512960948,5.60316447884349,0.100807087787392,0.796906866109146
"79","GB41127",1839,262,1145,1638,2143,3459,2302,1798,1749,5830,8298,1029,-0.775719933383206,8.20482499820046,0.0934373383093406,0.796906866109146
"80","GB41138",17,6,44,26,43,65,52,55,238,163,328,132,-0.674158588004449,3.30712955030478,0.0644262485460364,0.796906866109146
"81","GB41140",208,367,279,437,323,284,350,356,345,311,301,276,0.609312330489662,5.51419619064324,0.0466402495182717,0.796906866109146
"82","GB41156",41,122,69,86,139,67,40,220,278,75,66,161,0.746465902218067,3.91444524123971,0.097733859147694,0.796906866109146
"83","GB41161",319,306,293,666,308,321,348,369,351,223,313,227,0.523077172626232,5.58248433789446,0.0739087901879959,0.796906866109146
"84","GB41166",34,134,48,44,74,37,83,49,36,31,24,31,1.49240171050915,3.16320929535671,0.00534981294952423,0.796906866109146
"85","GB41174",20,7,39,59,47,116,50,106,244,164,248,188,-0.687465740377072,3.48701091908971,0.0420025514893457,0.796906866109146
"86","GB41177",18,11,42,61,46,84,51,75,123,115,194,83,-0.583045949878649,3.0667034086664,0.0454906749024141,0.796906866109146
"87","GB41188",237,50,227,374,158,717,174,647,447,676,689,812,-0.603665590809132,5.60900626749108,0.0945530031266244,0.796906866109146
"88","GB41199",164,76,165,186,113,173,169,223,247,171,232,227,0.393625973840504,4.50673353424996,0.0933667828402854,0.796906866109146
"89","GB41212",35,54,181,78,72,80,74,107,316,140,97,46,0.858063554746506,3.71740317938279,0.0265553859150981,0.796906866109146
"90","GB41225",424,181,546,857,1033,1038,955,854,1699,2153,2236,1251,-0.593860832052258,6.93668031404317,0.0527791390340807,0.796906866109146
"91","GB41242",337,557,548,573,602,515,924,586,749,807,810,564,0.519187250163203,6.40438885677847,0.107140540538283,0.796906866109146
"92","GB41247",103,118,112,126,192,113,271,252,261,203,194,234,0.505039891451148,4.54221687363665,0.0852560807155851,0.796906866109146
"93","GB41282",23,13,43,51,74,65,92,76,236,178,221,224,-0.541690020212736,3.5299585068807,0.0541873817016594,0.796906866109146
"94","GB41294",188,351,205,260,252,187,358,369,297,299,309,378,0.763962039740034,5.34857478572305,0.0304052139129154,0.796906866109146
"95","GB41316",12,17,24,23,20,34,119,65,47,44,50,55,0.697612428199484,2.40460889195203,0.0565361591887347,0.796906866109146
"96","GB41339",34,43,352,80,337,82,788,95,906,180,170,71,1.2333314359828,4.9282940633655,0.0425753479454562,0.796906866109146
"97","GB41343",18,7,18,43,24,66,38,58,123,104,174,104,-0.717045636941698,2.8066520837923,0.0250702761082728,0.796906866109146
"98","GB41369",9,6,59,31,55,153,149,234,227,132,1014,177,-0.896427701536895,4.16898884247994,0.0635140796956951,0.796906866109146
"99","GB41374",47,19,62,27,59,51,20,54,60,39,37,31,0.512041968961678,2.53635168318316,0.115118035693291,0.796906866109146
"100","GB41385",25,10,48,63,30,79,55,70,201,153,236,173,-0.585112576573322,3.34027592765663,0.0559301245813491,0.796906866109146
"101","GB41387",34,12,39,48,26,74,41,91,98,129,223,112,-0.537707012597131,3.10010768189158,0.0878253127888766,0.796906866109146
"102","GB41389",164,172,180,2585,151,248,155,325,611,290,457,230,-1.00649316539525,5.84323722335628,0.0538636305571181,0.796906866109146
"103","GB41424",23,11,52,75,50,76,65,78,210,153,210,154,-0.488388694915359,3.38137623254861,0.0774702362084213,0.796906866109146
"104","GB41442",46,22,131,105,62,162,76,170,180,236,325,270,-0.515953578270935,4.0482689719494,0.0865481385191586,0.796906866109146
"105","GB41450",16,4,22,26,36,41,35,61,104,98,120,78,-0.481260722948397,2.56362524345714,0.0921708372629878,0.796906866109146
"106","GB41492",104,232,157,246,195,129,256,221,294,270,262,197,0.573747004671376,4.86623131084925,0.0792790715264579,0.796906866109146
"107","GB41494",117,75,124,136,89,125,149,129,124,153,139,104,0.495096461468591,4.03495570679503,0.0586038093235319,0.796906866109146
"108","GB41505",7,6,18,25,34,41,32,58,99,70,121,115,-0.66874935245354,2.51264915634386,0.0327096026801258,0.796906866109146
"109","GB41517",43,76,35,58,52,50,30,42,61,54,52,34,0.680124845163233,2.87501293155715,0.0579227882447432,0.796906866109146
"110","GB41520",159,87,190,287,254,268,399,411,545,647,935,665,-0.383602390688432,5.48251227088305,0.0882281827271722,0.796906866109146
"111","GB41521",232,284,269,290,338,350,545,575,730,559,616,577,0.418670370384616,5.79695223879527,0.116142202618412,0.796906866109146
"112","GB41553",21,13,47,92,63,68,62,64,163,141,194,83,-0.553012540273173,3.23351759434131,0.0610506800676263,0.796906866109146
"113","GB41584",109,114,99,154,116,100,182,181,185,160,105,172,0.625188534450802,4.2377788676213,0.0392126454046528,0.796906866109146
"114","GB41603",268,182,735,961,702,996,839,1037,2127,2553,2323,2181,-0.658169442137974,7.04941325908953,0.0362080313780445,0.796906866109146
"115","GB41624",73,33,63,104,77,52,161,119,110,49,38,44,0.898559171132901,3.3638927129691,0.0254885371947975,0.796906866109146
"116","GB41629",28,10,27,31,27,52,67,76,135,151,174,172,-0.486518605841059,3.1018692409896,0.0746066432471083,0.796906866109146
"117","GB41630",394,805,307,345,631,460,1458,1040,983,1036,828,1132,0.779122127025906,6.71126792672247,0.0676755168847494,0.796906866109146
"118","GB41645",473,1159,359,483,713,645,1235,1124,1208,944,1059,1597,0.741638429202434,6.98172569597146,0.0884932668875507,0.796906866109146
"119","GB41646",198,82,283,398,225,832,497,704,723,633,1462,842,-0.496435173102711,5.96231546443788,0.100549339950771,0.796906866109146
"120","GB41649",22,7,107,70,44,169,53,114,321,258,376,245,-0.722602185570187,3.94063281697175,0.0775108430276359,0.796906866109146
"121","GB41656",54,62,41,86,48,69,45,64,71,57,68,42,0.47748374929299,3.05890518804677,0.113773726970704,0.796906866109146
"122","GB41657",334,423,341,681,430,313,533,508,517,336,467,536,0.528583724145853,5.96461664389123,0.0899105604963106,0.796906866109146
"123","GB41670",247,61,126,506,474,1621,488,624,408,1538,1620,347,-1.32053713597363,6.21915446931505,0.00762244187726947,0.796906866109146
"124","GB41671",574,1037,663,745,955,757,1564,1350,1190,1168,1023,1085,0.739850939086327,7.11171414831677,0.0496045983323643,0.796906866109146
"125","GB41672",58,31,104,161,110,180,108,210,361,299,351,263,-0.40602747903373,4.35668044660509,0.0970477380421071,0.796906866109146
"126","GB41680",36,40,67,73,58,207,155,174,447,459,612,505,-0.783443715072388,4.59260547787836,0.0159740884785141,0.796906866109146
"127","GB41701",87,31,176,167,167,307,236,351,601,620,788,584,-0.587839906555013,5.16812691197044,0.0313614863159285,0.796906866109146
"128","GB41727",38,6,48,55,38,122,109,176,251,221,427,278,-0.607226146142953,3.91615352222696,0.0571868303103157,0.796906866109146
"129","GB41733",950,1190,850,2376,971,628,648,978,956,484,596,510,0.662527677210869,7.14893508334385,0.0839347488061801,0.796906866109146
"130","GB41737",242,147,231,304,319,245,449,535,400,344,382,350,0.441047874559732,5.37919600658138,0.0840575437053123,0.796906866109146
"131","GB41741",108,386,120,496,178,134,69,216,210,130,131,116,0.736485505341411,4.93586867108504,0.0908845672502472,0.796906866109146
"132","GB41751",85,10,62,82,100,204,167,245,345,328,642,368,-0.638001280796533,4.51589273165349,0.0564900617960202,0.796906866109146
"133","GB41752",129,115,88,138,139,144,281,216,162,163,187,164,0.605916117393272,4.4188375708476,0.051907125753399,0.796906866109146
"134","GB41753",23,18,30,36,42,63,56,44,120,146,171,139,-0.654821643396439,3.04979019361252,0.0326579077659558,0.796906866109146
"135","GB41776",55,36,72,140,81,673,53,217,512,404,336,348,-0.988670637941433,4.72842510635938,0.0376391741573081,0.796906866109146
"136","GB41845",5,7,35,38,38,58,43,56,139,144,278,94,-0.950694401105096,3.01473905567487,0.0126230733623863,0.796906866109146
"137","GB41847",60,23,108,112,137,192,128,284,516,345,455,460,-0.43459529976498,4.62742416566205,0.111551650569056,0.796906866109146
"138","GB41858",88,38,161,330,128,227,159,276,495,335,524,377,-0.418043744966445,4.8424941873286,0.114012398837147,0.796906866109146
"139","GB41873",49,23,92,111,82,166,126,140,201,256,266,153,-0.396022255819155,3.97431098362802,0.113845395322471,0.796906866109146
"140","GB41888",19,9,41,23,35,112,60,67,166,167,256,199,-0.862569288352606,3.34165702524168,0.0192942976118638,0.796906866109146
"141","GB41891",17,1,13,14,24,96,50,60,125,68,216,135,-0.867335315755931,2.84003015627386,0.0589017001788753,0.796906866109146
"142","GB41894",23,8,39,39,70,108,105,144,281,179,326,306,-0.613532891334176,3.80411788203375,0.0496692828014521,0.796906866109146
"143","GB41904",11,14,30,36,34,38,111,199,126,62,111,116,0.528378647510184,3.05127855803116,0.0979088416259507,0.796906866109146
"144","GB41912",472,92,163,117,61,1914,151,210,275,677,1386,1254,-1.24432523017635,6.0228967043152,0.0522489532681046,0.796906866109146
"145","GB41975",6,6,21,34,19,34,13,36,54,48,68,47,-0.595299876070801,1.92200737475586,0.0682842197772548,0.796906866109146
"146","GB41981",401,464,401,9673,743,193,203,662,1336,211,381,205,-1.43285821591599,7.32904716726517,0.037580958655666,0.796906866109146
"147","GB42000",1958,5095,1737,2198,3739,2212,4520,3608,6975,5010,4667,3730,0.821210123026008,9.04665021760588,0.064201748207912,0.796906866109146
"148","GB42015",102,63,108,159,107,102,126,193,132,82,117,145,0.45903158206337,3.97949448930639,0.0934115064856521,0.796906866109146
"149","GB42018",147,115,206,242,194,144,170,159,108,147,115,145,0.426767905191498,4.48189217383555,0.114633911491665,0.796906866109146
"150","GB42021",516,873,427,529,784,569,1188,932,1036,956,858,908,0.736036615444645,6.78455331169912,0.0559804785836316,0.796906866109146
"151","GB42031",35,16,75,78,72,107,96,123,256,234,302,308,-0.606942716784143,3.92195740680003,0.0252153889383977,0.796906866109146
"152","GB42039",8112,21346,8201,10213,17862,10303,12953,25093,26183,12486,12760,20644,0.876060899454453,11.1094925239872,0.0514260258854117,0.796906866109146
"153","GB42049",28,8,136,88,72,124,115,79,399,293,508,266,-0.607361123876203,4.17502551667389,0.111316233940138,0.796906866109146
"154","GB42051",48,20,100,119,111,130,108,125,176,177,236,156,-0.379336227043842,3.86018551291681,0.1157575833973,0.796906866109146
"155","GB42074",152,34,272,334,287,434,405,325,756,853,1137,471,-0.59302774550547,5.60723365757729,0.056639259720435,0.796906866109146
"156","GB42106",106,71,217,367,178,329,210,324,443,371,572,415,-0.375429513658825,5.09932945623155,0.103786479620695,0.796906866109146
"157","GB42138",26,6,48,39,55,125,81,105,203,152,260,254,-0.707667334973172,3.57798199322835,0.0385874115777994,0.796906866109146
"158","GB42142",72,44,114,210,89,184,192,202,501,400,505,476,-0.450924960440711,4.73802440743968,0.0725584718039459,0.796906866109146
"159","GB42169",591,1473,707,783,1122,803,1302,1275,881,1089,980,889,0.86702662200066,7.20721326793348,0.0378329560692269,0.796906866109146
"160","GB42170",67,223,136,116,213,132,233,221,166,171,175,134,0.784249644321466,4.57745261152788,0.0434414763845235,0.796906866109146
"161","GB42174",92,43,153,219,124,232,180,258,367,357,557,324,-0.388991968203083,4.74791910132125,0.0965700097643173,0.796906866109146
"162","GB42186",12,4,33,51,40,57,46,53,104,72,154,79,-0.617818976166904,2.7043393563229,0.0486281092335596,0.796906866109146
"163","GB42205",152,120,193,256,179,227,246,310,239,189,243,172,0.43672986025268,4.78375527306221,0.0740486811796949,0.796906866109146
"164","GB42211",88,61,188,204,195,274,247,308,519,451,662,429,-0.346579747833547,5.05621845021608,0.115761617229488,0.796906866109146
"165","GB42213",25,6,29,50,19,79,28,42,114,104,164,120,-0.829516620548177,2.83630064011086,0.0247285385972265,0.796906866109146
"166","GB42219",2,3,13,31,30,51,11,51,28,8,55,40,-0.857878139585729,1.71841413594235,0.0734180171970042,0.796906866109146
"167","GB42233",33,78,44,43,83,43,31,149,253,51,66,166,0.731686133503128,3.44799668245208,0.111505768997123,0.796906866109146
"168","GB42241",19,19,43,47,58,98,72,66,190,176,207,176,-0.631800235731424,3.41396669202533,0.0348693456198189,0.796906866109146
"169","GB42249",230,810,195,243,344,430,422,717,1353,500,453,806,1.05440175460126,6.22928717897198,0.0280438769571445,0.796906866109146
"170","GB42264",361,873,561,630,822,682,1917,817,616,877,608,589,0.860556783413995,6.79135431448948,0.0521871680088672,0.796906866109146
"171","GB42275",14,4,10,8,11,42,38,27,40,72,90,110,-0.903766088234833,2.13727815715584,0.0270260231649344,0.796906866109146
"172","GB42279",32,10,60,62,64,120,94,113,210,200,242,196,-0.529742311696949,3.66280298046198,0.0572660156191206,0.796906866109146
"173","GB42303",10,6,12,18,7,35,47,39,57,131,99,79,-0.737935519702459,2.3174666339758,0.0329303157237806,0.796906866109146
"174","GB42327",28,5,71,45,42,117,67,103,221,278,411,263,-0.955593444362054,3.81426572993866,0.012228331770936,0.796906866109146
"175","GB42328",13,0,37,35,23,51,43,67,145,163,240,142,-0.889678654407953,3.03613791126809,0.030648615865797,0.796906866109146
"176","GB42329",209,65,490,396,322,681,452,728,1121,1362,1694,1152,-0.583637568621885,6.25430389504207,0.0630015750234891,0.796906866109146
"177","GB42346",18,11,24,80,24,41,23,35,41,90,53,33,-0.686857486474761,2.2921584878119,0.0606804503314774,0.796906866109146
"178","GB42350",39,29,64,123,57,239,93,115,230,152,230,157,-0.495987104611993,3.85775369803541,0.10079964779386,0.796906866109146
"179","GB42352",42,18,62,94,98,147,96,163,274,178,315,225,-0.473931480883305,3.95581506669634,0.0704409638304371,0.796906866109146
"180","GB42374",176,76,323,296,293,510,403,584,1160,939,1338,950,-0.414357810059285,5.95505858063172,0.116311121042778,0.796906866109146
"181","GB42379",16,20,74,72,50,122,57,103,223,187,277,224,-0.658582619075917,3.67088674112134,0.0442163794816583,0.796906866109146
"182","GB42425",32,24,134,147,72,480,211,400,274,97,1003,556,-0.849420755613591,4.88871306900505,0.0750595575557699,0.796906866109146
"183","GB42431",679,275,736,632,437,530,553,946,1574,640,627,556,0.830236777102131,6.42529572642697,0.00865126994978862,0.796906866109146
"184","GB42451",11,5,34,40,30,55,29,68,96,92,125,95,-0.601646261834641,2.65128122749126,0.0498774479316825,0.796906866109146
"185","GB42455",586,263,952,1010,774,1131,767,1244,1977,2897,2601,3177,-0.610864898295439,7.31367857367264,0.0577935322534296,0.796906866109146
"186","GB42460",8,80,370,10,6,10,33,51,1531,150,15,14,3.41508442788097,4.30908669209184,0.00183446041114041,0.796906866109146
"187","GB42482",1148,289,1134,1576,884,2561,1890,2006,1792,3836,6385,2171,-0.592485815479642,7.8785488516763,0.103703666653901,0.796906866109146
"188","GB42484",69,24,108,172,163,215,156,181,591,454,557,346,-0.59834173632945,4.73352852105767,0.0408173271305092,0.796906866109146
"189","GB42495",126,38,178,179,198,434,263,347,678,613,788,551,-0.522994964776798,5.29158337018355,0.0632871362332202,0.796906866109146
"190","GB42500",100,39,199,224,226,214,255,233,540,488,572,469,-0.418578981088577,5.02659327717213,0.0877336148864861,0.796906866109146
"191","GB42508",199,332,148,177,298,249,548,421,460,408,347,394,0.745607861177578,5.48197269333659,0.0420368338720122,0.796906866109146
"192","GB42524",58,44,64,51,73,59,175,114,201,92,138,165,0.563943563140629,3.64155453316097,0.0544516493266045,0.796906866109146
"193","GB42541",16,52,20,33,60,32,34,109,116,23,37,73,0.771404402616806,2.73121162573917,0.0954964701439553,0.796906866109146
"194","GB42548",86,340,74,210,134,87,106,160,317,107,164,173,1.1175741252724,4.65547922715422,0.0181075256281796,0.796906866109146
"195","GB42550",47,24,126,185,123,249,120,145,328,306,269,221,-0.583246021456854,4.32491143260358,0.0446951764469908,0.796906866109146
"196","GB42559",88,41,214,148,127,345,256,281,704,617,854,589,-0.492965017293568,5.2151100273118,0.0881125418615395,0.796906866109146
"197","GB42567",51,12,43,77,49,166,56,126,235,218,632,199,-1.02737384023165,3.98708782366069,0.0101146047450952,0.796906866109146
"198","GB42576",19,33,21,46,35,31,24,83,143,26,53,53,0.668801134747126,2.54885876309458,0.0899595972343099,0.796906866109146
"199","GB42594",93,11,72,99,200,240,233,228,148,535,537,134,-0.808585427849873,4.5478373077147,0.0515170483488859,0.796906866109146
"200","GB42597",39,29,20,56,21,56,110,56,78,11,67,60,0.725365234702709,2.70807318890724,0.0919188260669114,0.796906866109146
"201","GB42615",464,661,412,1167,471,365,448,528,432,232,336,280,0.729710706049408,6.21490150909243,0.0534448254915178,0.796906866109146
"202","GB42629",35,25,59,58,39,45,55,78,73,57,65,49,0.464496593037198,2.77969623261794,0.0770796900680262,0.796906866109146
"203","GB42653",434,219,323,360,368,437,345,538,762,398,658,436,0.449041089065139,5.80754258760656,0.0780895032110162,0.796906866109146
"204","GB42662",52,20,131,162,117,181,106,195,283,232,303,240,-0.414822278211385,4.23660203364029,0.111864211708984,0.796906866109146
"205","GB42723",535,712,387,1238,589,383,520,694,655,293,387,413,0.70557997538385,6.40509092740409,0.0658498203871278,0.796906866109146
"206","GB42738",99,62,262,238,156,338,201,191,511,661,609,514,-0.56475300172613,5.14840983331879,0.049151247816208,0.796906866109146
"207","GB42740",47,35,50,101,67,91,116,105,241,194,257,305,-0.422031140490173,3.89835802737093,0.104965569857971,0.796906866109146
"208","GB42747",18,4,42,30,35,73,54,62,176,169,272,183,-0.858276034847898,3.26745213482667,0.0160046265612136,0.796906866109146
