"","ID","NP.1","NP.3","NP.4","NP.5","NP.6","NS.3","NP.2","NS.1","NS.2","NS.4","NS.5","NS.6","logFC","logCPM","PValue","FDR"
"130","GB48835",254,305,294,471,226,249,230,322,265,214,234,171,1.29766121905923,5.30797025637066,2.2660034996871e-05,0.00145063108365328
"131","GB50170",42,3,33,72,28,138,86,140,261,216,420,426,-1.82093922195393,3.97395503389053,2.2809021396005e-05,0.00145063108365328
"132","GB50690",57,46,143,160,163,310,291,350,811,512,637,681,-1.14021671339,5.17508468659225,2.21850791958192e-05,0.00145063108365328
"133","GB53016",35,6,46,41,46,68,68,109,212,200,280,263,-1.37210181858975,3.57889169326818,2.27738078918401e-05,0.00145063108365328
"134","GB54312",222,281,261,587,261,239,281,306,258,182,250,261,1.28454807924229,5.33301702729363,2.26451617623121e-05,0.00145063108365328
"135","GB40546",45,109,52,107,63,39,50,60,42,47,46,36,1.76660732481486,3.2044239222944,2.31509508679317e-05,0.00145679501943022
"136","GB41161",319,306,293,666,308,321,348,369,351,223,313,227,1.25506499153172,5.58248433789446,2.3727664738535e-05,0.00146062689821634
"137","GB49494",42,15,92,90,58,140,93,155,346,295,414,377,-1.31121592689171,4.19648571251447,2.36444096234733e-05,0.00146062689821634
"138","GB54301",3976,5394,3266,10685,4385,3034,2940,4283,4361,1975,2928,2369,1.70994926462774,9.29844422330612,2.3532062006701e-05,0.00146062689821634
"139","GB44608",3002,5162,2468,12304,3675,2373,1884,3363,4150,1517,2536,1917,1.86032422407364,9.14070751510327,2.44196902307675e-05,0.00149241200367172
"140","GB47473",1334,2653,1397,3590,1630,1151,1304,1608,1662,953,1043,1032,1.7618726482675,7.99308393546325,2.47730881877277e-05,0.00150319560110534
"141","GB42013",106,112,107,228,151,95,102,123,148,118,121,86,1.18982835690768,4.13189130940911,2.54851830414913e-05,0.0015354370917551
"142","GB50086",50,26,45,82,62,43,36,57,29,27,30,27,1.34682149353751,2.62093888038378,2.66249282210658e-05,0.00159280820590108
"143","GB46262",21,11,37,47,42,96,53,60,200,258,305,203,-1.55413863236638,3.52486911238966,2.69562426837208e-05,0.00160135161956789
"144","GB40075",26,11,40,42,50,111,54,85,244,174,294,219,-1.46386289442231,3.55290309582461,2.78078785070115e-05,0.00161799950628125
"145","GB44586",250,396,292,953,303,262,282,362,399,253,255,226,1.45449846546963,5.67249991485724,2.75719270236505e-05,0.00161799950628125
"146","GB47181",3104,5503,3178,11042,4076,2147,2465,3644,4787,1827,2841,2170,1.80499792901862,9.21578279623655,2.77240592125919e-05,0.00161799950628125
"147","GB48262",30,12,55,32,45,106,84,105,225,194,313,249,-1.3485089626874,3.66504010148989,2.80281500936738e-05,0.00161972200711401
"148","GB41068",833,1051,947,2007,859,774,740,1010,867,579,707,608,1.48626651942433,7.08535980824058,2.88869952574017e-05,0.00164189357477613
"149","GB54107",52,31,62,92,92,50,59,57,65,44,41,50,1.19675641076025,3.00025383904001,2.89916464056997e-05,0.00164189357477613
"150","GB54723",17,2,32,34,38,34,77,62,220,155,258,242,-1.47705059144918,3.30658846089314,2.89037473244764e-05,0.00164189357477613
"151","GB50167",523,860,467,1328,543,426,418,643,597,352,452,341,1.62673397323846,6.4806223886833,2.97633408686317e-05,0.00167443430913262
"152","GB44315",5,8,25,10,24,39,25,64,200,58,113,142,-1.74086510646558,2.63798440713916,3.05064663366947e-05,0.00169380674202759
"153","GB48338",180,128,291,419,281,305,304,243,168,167,209,212,1.08321356563449,5.0401349806448,3.03478016005331e-05,0.00169380674202759
"154","GB48484",1020,1726,973,2593,1047,854,894,1207,1168,558,758,719,1.71233315995616,7.45807272320913,3.10120417311889e-05,0.00169965996455774
"155","GB54130",11,2,30,20,21,52,33,74,104,87,177,108,-1.53853363566946,2.66976224206788,3.09890219071312e-05,0.00169965996455774
"156","GB48379",315,220,342,458,374,251,401,407,268,211,206,261,1.28354094317518,5.44958862922141,3.12676660193611e-05,0.00170268476175944
"157","GB45545",1776,2602,1477,5904,1841,1335,1197,1879,2418,1079,1329,982,1.73206298932564,8.22822930500891,3.17920401495572e-05,0.00171072231937931
"158","GB46793",737,800,832,2105,928,565,704,900,1083,456,645,538,1.49605575718827,6.93888419537306,3.31713092103921e-05,0.00171072231937931
"159","GB51118",533,990,733,1682,785,629,580,826,723,501,565,399,1.54614156752814,6.80982076217563,3.25980342437712e-05,0.00171072231937931
"160","GB51330",3561,5889,3160,10522,4039,2866,2926,3893,4591,1945,3043,2558,1.72415002914539,9.2933715671403,3.29117046684794e-05,0.00171072231937931
"161","GB51998",17,15,23,23,34,86,42,63,170,150,239,161,-1.56284159596529,3.17152616403125,3.1996262364773e-05,0.00171072231937931
"162","GB52690",147,170,171,441,199,141,209,214,243,132,189,116,1.2971030638943,4.78046612680906,3.32656405244511e-05,0.00171072231937931
"163","GB53015",156,50,190,277,239,625,431,938,1150,807,1471,692,-1.28973440633511,5.91763176580068,3.30085538509222e-05,0.00171072231937931
"164","GB53139",36,9,88,108,77,131,95,169,542,274,436,399,-1.42975050443927,4.31279371037593,3.28466374799102e-05,0.00171072231937931
"165","GB53955",180,211,260,493,243,200,204,287,287,213,224,175,1.13351436499515,5.10526989404559,3.34290647459642e-05,0.00171072231937931
"166","GB55895",2065,3602,1573,5251,2361,1377,1464,2301,2511,998,1563,1231,1.81792499956208,8.44022848566541,3.31715737711774e-05,0.00171072231937931
"167","GB47541",276,757,596,358,175,404,431,183,157,114,365,156,2.07099476367236,5.84449964018101,3.3752737730665e-05,0.00171694315582036
"168","GB40462",11667,10049,9980,25812,11425,7334,8990,11391,11899,6209,7726,6652,1.56344409550001,10.6144417510038,3.44460793373891e-05,0.00174060797294593
"169","GB45434",319,829,379,1378,374,275,238,411,620,251,341,294,1.80092227602507,6.21827519224942,3.46277513158167e-05,0.00174060797294593
"170","GB51430",124,215,108,441,140,109,91,131,199,105,119,134,1.52637734989547,4.56525657319555,3.50091252124392e-05,0.00174942658046866
"171","GB42926",283,417,253,722,307,190,246,378,345,213,295,219,1.49338816679478,5.58359784488153,3.6050946492887e-05,0.00177232669507951
"172","GB47239",17,7,32,20,24,54,42,61,148,117,132,152,-1.35461508103721,2.85590253815214,3.60066863179026e-05,0.00177232669507951
"173","GB48114",9,5,22,15,27,50,34,52,111,89,134,111,-1.43790881980897,2.56701891160733,3.60932923188647e-05,0.00177232669507951
"174","GB45517",61,39,149,138,122,250,183,261,648,404,650,537,-1.13854664613276,4.90324833553279,3.64981709502976e-05,0.00178190782886654
"175","GB40225",4,8,21,27,17,68,15,46,206,95,139,98,-1.92671983427,2.68728353308604,3.73775655669136e-05,0.00181441382566246
"176","GB43189",31,11,39,38,37,197,58,163,151,166,606,186,-1.90239369620612,3.83669780031563,3.83911077539739e-05,0.00185302534301141
"177","GB55628",172,152,289,398,277,246,288,255,294,225,241,155,1.01911345434765,5.06655825987943,3.87130718209639e-05,0.00185800872948637
"178","GB41174",20,7,39,59,47,116,50,106,244,164,248,188,-1.45810043348541,3.48701091908971,3.9209022851132e-05,0.00186078574927579
"179","GB43376",337,322,463,848,442,309,494,471,534,355,372,309,1.21311544832656,5.9087817165472,3.91894766617424e-05,0.00186078574927579
"180","GB42747",18,4,42,30,35,73,54,62,176,169,272,183,-1.52258454351533,3.26745213482667,4.04118810311663e-05,0.00190721627422088
"181","GB41861",57,30,79,50,94,102,152,129,553,328,580,437,-1.26858338383313,4.46076098820464,4.11955074181457e-05,0.00192839608470277
"182","GB42327",28,5,71,45,42,117,67,103,221,278,411,263,-1.61235432762566,3.81426572993866,4.13146659700888e-05,0.00192839608470277
"183","GB47098",85,77,183,170,172,264,195,383,797,560,773,793,-1.09980597920448,5.29206501235138,4.24274478814866e-05,0.00196951458881546
"184","GB50034",2,8,4,18,6,73,5,82,134,85,66,64,-2.61456845530987,2.2974942141023,4.29548686071479e-05,0.00197244112874444
"185","GB50681",24,7,49,29,30,80,60,91,168,148,214,225,-1.37789765075679,3.31479548691422,4.27903028255325e-05,0.00197244112874444
"186","GB40676",36,20,55,59,51,166,88,111,282,247,372,245,-1.33488775592661,3.92718791262029,4.35227363697473e-05,0.00198777228742475
"187","GB48238",38,7,61,70,80,127,146,179,323,273,392,317,-1.23150031280715,4.11941953382052,4.39075888913055e-05,0.00199462549535636
"188","GB49787",413,371,489,1209,542,296,328,470,756,302,453,362,1.29083579877837,6.09773568812589,4.42520676532763e-05,0.00199958146124778
"189","GB40032",265,514,338,639,298,290,336,385,345,261,273,260,1.45852859215455,5.73438891169407,4.57891186991348e-05,0.00203611837969997
"190","GB48512",39123,18468,31947,65149,30895,20529,29319,34483,27300,14339,21617,12330,1.61067929505705,12.0144228388024,4.59246210598018e-05,0.00203611837969997
"191","GB48632",10,12,18,27,15,51,16,72,123,83,103,127,-1.58103010429324,2.58316613412773,4.60193912775037e-05,0.00203611837969997
"192","GB51552",97,248,114,366,115,62,83,156,168,84,103,54,1.83716916072134,4.43263832985365,4.56176820007397e-05,0.00203611837969997
"193","GB41412",264,270,284,796,290,274,297,372,376,193,287,257,1.22974186539101,5.51706081714063,4.62816615138489e-05,0.00203711251067433
"194","GB41847",60,23,108,112,137,192,128,284,516,345,455,460,-1.15125025404048,4.62742416566205,4.80946872542769e-05,0.0020731838546964
"195","GB44798",62,21,100,122,77,179,152,219,389,382,455,361,-1.07726631432975,4.47242782203313,4.85654605161369e-05,0.0020731838546964
"196","GB46523",69,52,149,152,165,282,265,326,555,584,765,553,-1.01534005636915,5.11067416048543,4.83615743044859e-05,0.0020731838546964
"197","GB51058",109,18,143,212,153,189,245,335,1385,551,1034,598,-1.36526807982319,5.34696952828355,4.7517917815797e-05,0.0020731838546964
