"","ID","NP.1","NP.3","NS.1","NS.2","NS.3","NS.6","NP.2","NP.4","NP.5","NP.6","NS.4","NS.5","logFC","logCPM","PValue","FDR"
"62","GB40124",193,139,240,515,245,209,227,355,372,255,288,257,0.000948741194004639,5.14562492624964,0.984844925866487,1
"63","GB40126",71,11,73,68,116,117,118,148,308,250,401,318,-0.195477303624361,4.15639517440965,0.510705065803728,1
"64","GB40128",13,9,16,14,16,30,29,39,52,56,71,67,0.0594319105585426,2.0193285208931,0.844483274119135,1
"65","GB40129",17,10,13,16,16,30,43,55,87,87,102,103,0.271501392850726,2.43452199758156,0.351847720788772,1
"66","GB40134",4560,5746,3859,3540,7082,5490,9882,8808,12138,12138,12044,13974,0.546879175946625,10.0107508400013,0.1366552818915,1
"67","GB40135",30,15,19,21,22,19,61,36,46,66,31,53,0.823606199615631,2.17389607162749,0.0198056540117603,1
"68","GB40136",1418,200,3298,3708,592,19631,6878,15622,3748,2702,11898,10017,-0.659289853080713,9.50297542474872,0.302380683744527,1
"69","GB40137",2358,622,10680,11918,4764,15192,35826,35734,14036,13469,25499,19084,0.23023381875438,10.7459856269855,0.622166017624368,1
"70","GB40139",37,128,240,336,242,101,8,179,641,27,99,387,-0.45906148976321,4.64537275729718,0.460653652429278,1
"71","GB40140",503,424,784,791,1465,1155,1931,1793,3833,2242,2915,3297,0.0947172187566324,7.59196221912927,0.751431572432504,1
"72","GB40141",26,11,65,98,436,70,393,104,716,291,203,188,0.209140007106929,4.57350016257768,0.708171134628309,1
"73","GB40145",152,208,241,510,327,279,177,574,1039,331,424,714,0.0823204357633483,5.61696724789786,0.796248526663757,1
"74","GB40148",604,313,3411,1758,3643,797,3242,904,4327,3254,971,2258,-0.298731789379847,8.00294944306396,0.538844137934174,1
"75","GB40149",33,22,40,53,31,32,41,36,30,29,26,36,0.061888369698497,2.25927777028463,0.772671758792007,1
"76","GB40150",523,729,246,349,983,545,1699,879,1079,1037,1195,1272,0.765623914826708,6.8422580754541,0.0708542504165727,1
"77","GB40151",144,56,209,447,190,352,287,395,556,520,825,515,-0.292755046062596,5.37053746876952,0.244529330656781,1
"78","GB40157",5231,1794,6344,6751,4671,13765,10876,10985,11258,19170,26724,12265,-0.0860412752573484,10.2305222123296,0.800794318809641,1
"79","GB40158",11,15,38,30,20,64,106,85,81,67,178,151,-0.189439619384237,2.97777945418055,0.556983980159166,1
"80","GB40159",140,138,172,264,195,252,388,311,289,299,281,293,0.319288933201403,4.99913446507799,0.195914594126027,1
"81","GB40162",40,14,64,67,72,200,145,171,285,179,366,319,-0.324531378783611,4.09159297839006,0.285467731305342,1
"82","GB40163",2118,866,3587,8428,4002,12728,11832,25168,8675,4336,21106,16329,-0.233670938752024,10.0601035172429,0.595613965184604,1
"83","GB40164",943,321,1145,1452,493,1729,2765,2701,1594,2002,2024,3112,0.205296701471403,7.61863171325336,0.55462774490654,1
"84","GB40166",153,16,82,94,83,306,159,170,316,323,694,357,-0.275359941015511,4.63521630329461,0.474088550713725,1
"85","GB40168",3113,810,1589,2606,2629,3830,4925,3754,5562,4210,7182,4929,0.204920738106557,8.78293263602696,0.524980371449846,1
"86","GB40169",156,27,77,106,115,191,106,142,145,234,673,107,-0.258013461193361,4.30811087401058,0.520271947532632,1
"87","GB40203",106,75,66,121,109,139,202,187,249,169,241,287,0.311072735105903,4.30628261060206,0.222446855655159,1
"88","GB40205",144,69,249,345,231,324,321,422,525,490,544,351,-0.0173313899956521,5.26729139586764,0.921236428412928,1
"89","GB40206",52,39,71,84,62,119,100,136,214,151,138,184,0.175707776631669,3.73142473579726,0.462554151526207,1
"90","GB40207",52,31,113,132,96,119,105,95,152,107,131,77,-0.248431260711134,3.65259923978698,0.29656790256421,1
"91","GB40208",251,167,365,591,332,431,337,542,533,468,556,450,-0.0883389833961023,5.69641453504528,0.69659102093244,1
"92","GB40211",83,63,102,142,77,81,108,149,142,104,106,116,0.277763569897218,3.7995225724431,0.278243439316217,1
"93","GB40212",147,77,345,1345,206,1158,1163,2199,1006,809,1765,1466,-0.19658376385437,6.70562658709416,0.651973697589919,1
"94","GB40217",66,61,132,86,114,184,194,187,255,470,81,96,0.742236024197421,4.28294944884562,0.0451337516306467,1
"95","GB40218",1059,117,815,1058,278,1222,276,573,404,698,3454,522,-0.671310914579569,6.69805733351095,0.188092386854784,1
"96","GB40221",30,6,50,70,50,94,27,79,128,82,168,104,-0.585407557530655,3.06490471176494,0.0787848989474957,1
"97","GB40222",110,71,133,217,138,178,213,283,304,258,296,226,0.193506403480571,4.60106242345919,0.355489776726332,1
"98","GB40225",4,8,21,27,17,68,15,46,206,95,139,98,-0.0667962487747647,2.68728353308604,0.863627442215725,1
"99","GB40226",109,108,123,199,166,146,200,280,276,150,206,189,0.330820845601442,4.52014186272272,0.194879867117969,1
"100","GB40232",2935,1910,5149,6695,4262,6766,6142,5063,5600,5543,5175,4277,-0.122314235507528,9.29250693880498,0.676356174740082,1
"101","GB40234",127,114,167,144,212,254,281,300,901,533,670,563,0.27017970831602,5.29101749774522,0.293809336269175,1
"102","GB40237",1154,566,1855,2566,1527,2212,1830,2434,3554,3076,3672,2839,-0.13844192231453,8.04668891530117,0.61141600453473,1
"103","GB40238",29,20,80,104,69,95,63,96,136,119,152,107,-0.360143947740563,3.39095972066579,0.143305234161194,1
"104","GB40239",70,40,153,162,108,166,142,161,174,165,184,151,-0.218780529472414,4.09878293781691,0.323726767110507,1
"105","GB40240",26082,10637,27355,38308,21003,24470,24939,32439,50908,17480,40580,24573,0.0815999948470941,11.7916933485099,0.800077122659726,1
"106","GB40243",29,36,50,73,66,57,57,75,119,57,80,83,0.00445354688332183,3.04169274231483,0.952673587545339,1
"107","GB40251",11,10,20,11,18,63,21,20,91,74,102,74,-0.252259497446563,2.28047984342983,0.535268717808822,1
"108","GB40252",593,953,661,2074,743,597,859,909,882,481,636,605,0.286472836131957,6.91855783980901,0.448324600917191,1
"109","GB40253",2120,777,4345,2674,3243,2817,3089,3659,6549,4671,5403,2778,-0.0349673681432674,8.70283643025508,0.910337660911156,1
"110","GB40259",408,397,436,1288,530,371,416,558,664,383,465,449,0.00303611839730999,6.17762746677551,0.984723412663714,1
"111","GB40261",580,301,2837,2356,994,3945,3069,6317,3245,5375,9208,3907,-0.274944204241512,8.53866713061699,0.492942352959224,1
"112","GB40263",140,183,129,561,209,308,214,342,1012,412,657,651,0.0269558801420327,5.51782667373405,0.930394373080101,1
"113","GB40265",32,45,49,60,44,97,114,105,244,190,265,202,0.214175103707316,3.74838487949916,0.431816772548962,1
"114","GB40266",129,109,186,179,200,191,254,362,446,410,305,326,0.402098997366741,4.95533697303536,0.0758764386245999,1
"115","GB40267",319,197,434,684,413,546,538,553,547,513,528,439,-0.0269647997972306,5.91839055345187,0.9156395183619,1
"116","GB40269",74,68,150,161,131,180,164,215,245,287,282,166,0.0808666996444354,4.41073196637734,0.71844801130367,1
"117","GB40270",63,52,95,165,93,93,86,110,121,82,103,77,-0.1023567905384,3.64435869828596,0.733132259494054,1
"118","GB40273",79,32,73,78,64,133,143,156,162,240,259,193,0.210934871787721,3.96122316861584,0.399369467256247,1
"119","GB40274",28,21,37,50,33,54,38,44,87,109,122,76,-0.0109589577263121,2.79474995148154,1,1
"120","GB40278",674,197,673,714,555,1112,773,1177,1084,1270,1241,1502,-0.01068229823149,6.76022379327843,0.970897783184274,1
"121","GB40280",1593,1841,2350,3948,2567,2670,2845,3761,4353,5304,3785,3341,0.258313921369761,8.64201431572338,0.389057517474662,1
"122","GB40282",26,66,77,82,90,134,146,95,380,244,241,264,0.195560936507805,4.11761064729429,0.534265492026122,1
"123","GB40283",51,29,97,79,98,127,102,128,312,315,358,265,-0.0723302827674633,4.15174537860144,0.770243737199373,1
"124","GB40284",75,24,768,407,36,1694,1074,1252,805,1452,1992,1389,-0.464082936080693,6.58858162732765,0.437972995454613,1
"125","GB40285",0,2,81,28,4,75,85,57,33,46,135,83,-0.862147352902036,2.59120570647188,0.166610340853335,1
"126","GB40287",304,192,389,555,383,623,364,524,853,802,1163,784,-0.171795687293899,6.07642062249946,0.485383475884392,1
"127","GB40288",79,39,108,151,75,177,364,114,253,339,353,332,0.146162439098026,4.49557921964024,0.618738956239777,1
"128","GB40289",298,141,501,535,300,472,467,578,602,578,612,529,-0.0323406662548891,5.83605645612807,0.888745202735303,1
"129","GB40296",68,53,109,127,94,109,157,184,200,200,244,224,0.0924475429629905,4.13152556583442,0.662897303365996,1
"130","GB40297",817,515,1037,1268,920,1108,1341,1256,1108,1163,1074,1160,0.134617743981741,7.10818892863055,0.632348841397261,1
"131","GB40299",100,91,1412,2709,618,840,19,554,4068,260,523,2456,-1.19605886300329,6.94519104484098,0.107322494001843,1
"132","GB40300",31,22,27,38,16,28,31,42,44,38,44,61,0.267648351492385,2.21628099110358,0.365710302475437,1
"133","GB40301",961,469,766,1254,622,824,1168,1124,1388,1130,1557,1758,0.195264052316716,7.08026420582639,0.510744201969096,1
"134","GB40302",2811,3826,2327,11643,2971,2702,2626,5258,6958,3007,4625,2762,0.217772010106692,9.1759604108253,0.588067423572745,1
"135","GB40303",13,59,18,17,33,38,39,26,74,54,93,75,0.514258532390939,2.57578104164349,0.243502474726198,1
"136","GB40304",255,273,329,762,635,248,590,529,1194,657,616,389,0.294271065094038,6.05431893181643,0.346608714486803,1
"137","GB40305",5281,5932,4461,16189,6380,4147,3986,7883,13296,4324,6871,4835,0.242966044416368,9.87861631344559,0.530634303635638,1
"138","GB40306",245,392,177,234,273,278,411,270,277,204,179,324,0.84411807187086,5.36399389024927,0.0301186709124968,1
"139","GB40307",41,22,56,79,60,57,89,93,68,76,69,57,0.151779382918105,3.03100381527764,0.584201984676432,1
"140","GB40308",275,141,393,645,411,491,506,574,624,557,704,487,-0.115247149986389,5.87307818535329,0.603826282443145,1
"141","GB40309",181,174,352,544,255,384,323,398,596,495,557,285,-0.004432202177901,5.54026625445089,0.994048821963853,1
"142","GB40310",62,159,89,555,165,218,166,261,938,254,746,800,-0.31466776953877,5.33526126657096,0.44811490561277,1
"143","GB40311",426,272,472,1040,425,359,411,513,596,359,508,477,-0.0613192753239374,6.01894497022996,0.833032882371699,1
"144","GB40312",105,36,177,224,158,394,248,389,903,836,1025,933,-0.195997047658748,5.52779225139625,0.518451272971224,1
"145","GB40313",93,59,158,185,165,256,424,348,838,613,557,682,0.267073246022619,5.28269579397916,0.248415129086545,1
"146","GB40316",56,14,49,41,41,49,65,79,101,119,145,121,0.160366907102652,3.11262041305739,0.575419168108512,1
"147","GB40318",60,52,56,85,66,67,113,101,126,85,116,94,0.406252285352003,3.45414480324887,0.123869334968727,1
"148","GB40319",13,10,38,47,30,59,41,67,149,123,153,71,0.0224389716347836,2.86996578743622,1,1
"149","GB40320",324,184,496,1139,590,479,476,753,961,739,990,650,-0.261984924338342,6.27364519388302,0.324432511457463,1
"150","GB40335",59,8,122,77,55,311,162,366,346,518,923,648,-0.46175344361563,4.90973931590007,0.269595106747286,1
"151","GB40336",542,129,1200,773,491,1765,2541,2482,1538,3429,3709,3319,0.0102424788463516,7.61433956308051,0.979854732623423,1
"152","GB40337",116,42,66,65,44,90,64,250,78,117,101,357,0.252267867414303,3.84497451839934,0.548590201203102,1
"153","GB40338",70,36,89,84,65,74,89,84,64,55,83,58,0.066195847271308,3.26716945662629,0.785253564239938,1
"154","GB40339",179,53,161,234,90,229,206,243,227,222,318,267,0.0328381267352372,4.63188373084206,0.893550579775504,1
"155","GB40341",103,49,170,220,171,303,264,324,351,335,441,315,-0.11462275589814,4.86499359784306,0.590336311382668,1
"156","GB40343",105,53,139,174,187,239,111,417,401,331,298,442,-0.0273094988747881,4.78485993598086,0.911494780570357,1
"157","GB40348",215,151,231,280,311,412,253,496,808,439,577,836,-0.0114304456601644,5.60523596922644,0.97107998631988,1
"158","GB40349",202,389,250,629,233,324,317,377,307,285,273,257,0.406058989653456,5.52937716524743,0.216450956519201,1
"159","GB40350",32,26,84,62,106,98,121,118,350,223,271,275,-0.0443113312255207,3.99386733664422,0.84502503482202,1
"160","GB40355",72,50,77,157,124,107,124,168,157,133,147,127,0.0731297556600125,3.91410807010946,0.747591793938744,1
"161","GB40356",8,9,45,35,34,39,20,51,176,78,87,118,-0.179449336311258,2.68048143719092,0.592590166001128,1
"162","GB40357",91,45,143,216,134,157,125,187,399,245,343,248,-0.133335493227548,4.47734352409306,0.556591055117268,1
"163","GB40358",55,30,89,125,72,123,85,133,258,166,194,149,-0.0091028919099622,3.83096574113167,0.954453139007088,1
"164","GB40359",42,27,55,69,46,80,69,80,135,117,119,111,0.099011682694738,3.24720587664577,0.677816421547377,1
"165","GB40360",208,161,434,544,419,597,579,603,562,559,686,418,-0.12077062294883,5.87164340749603,0.60739859127035,1
"166","GB40361",50,40,91,93,99,125,92,123,211,182,224,106,0.00337102497128406,3.82071213413723,1,1
"167","GB40362",11,9,42,41,35,39,52,87,72,48,76,52,-0.0137784577827574,2.48467606519339,0.904420943088408,1
"168","GB40364",153,82,290,309,269,267,313,345,348,289,296,222,-0.0578564698621469,5.04702109187234,0.796042874964265,1
"169","GB40365",120,103,163,226,226,232,294,302,282,240,277,296,0.0856980003470549,4.84260920590121,0.697083333051569,1
"170","GB40377",9,10,16,33,39,26,20,53,52,20,27,28,-0.0457698732901432,1.82924264530778,0.892061428986071,1
"171","GB40381",13,23,28,37,30,25,30,30,29,32,40,47,-0.140528338416418,2.02922832515015,0.777240376289646,1
"172","GB40382",168,111,189,269,222,228,325,334,334,308,284,320,0.23100832025321,5.01096878671177,0.29228044562418,1
"173","GB40385",56,27,151,156,145,174,186,182,430,248,305,303,-0.179642383531341,4.4520750557454,0.44967229552929,1
"174","GB40386",88,96,85,143,99,115,173,184,271,172,194,222,0.447093172856985,4.26015737670515,0.082902536084027,1
"175","GB40387",96,36,145,220,121,142,146,181,263,202,287,245,-0.231521483572334,4.3521496439773,0.306262993274867,1
"176","GB40388",116,63,209,215,170,195,224,258,340,252,331,246,-0.0359738802155213,4.70998217346756,0.857593043080449,1
"177","GB40389",1978,3520,2364,2805,2491,5098,6899,7247,3446,5119,6659,4697,0.609775669865925,9.13729197372075,0.115699526693444,1
"178","GB40390",27,20,23,19,42,22,33,35,75,61,40,45,0.529271524858581,2.24641300948355,0.112856117641688,1
"179","GB40391",84,69,145,231,90,197,136,180,266,238,294,168,-0.0654822690026773,4.39607074082006,0.797332551441092,1
"180","GB40392",44,25,61,97,79,124,213,184,173,120,338,83,0.113216509157665,3.86503516012174,0.715091736533183,1
"181","GB40395",946,615,2126,2317,2027,1737,2269,1807,1748,1511,1586,1528,-0.252688961273571,7.75696607187285,0.403221243678442,1
"182","GB40396",62,28,64,74,51,70,80,102,87,78,70,79,0.270120116567133,3.18647506404609,0.301021535836094,1
"183","GB40398",81,73,119,143,122,138,122,140,217,156,156,180,0.0516305396698113,4.11986805405606,0.793496996678361,1
"184","GB40399",48,18,83,95,73,82,65,82,162,97,131,110,-0.238746005635879,3.38195812893848,0.313460379173879,1
"185","GB40400",19,7,80,60,67,63,130,171,151,88,218,155,-0.16959894294851,3.47796271456324,0.558687603385975,1
"186","GB40401",12,4,32,20,24,30,35,45,93,63,86,54,0.04972069036631,2.24135575395944,0.981188909861649,1
"187","GB40405",589,281,788,884,711,1242,1072,1176,1931,1938,2652,1635,-0.0494818855062426,7.12428345965383,0.856641078622527,1
"188","GB40409",19,8,53,91,61,64,142,199,91,55,200,152,-0.192497992582068,3.41224761279139,0.566897080113733,1
"189","GB40410",78,39,112,196,149,337,129,200,294,403,762,170,-0.474872390900316,4.70573602157749,0.158672907433712,1
"190","GB40411",35,34,50,70,46,88,33,57,108,64,128,98,-0.301428471335107,3.06190266295493,0.329294057968062,1
"191","GB40414",135,43,128,173,160,200,183,222,257,230,285,236,-0.00822241688576038,4.49677547968034,0.971654317777044,1
"192","GB40415",52,28,131,154,75,166,100,130,212,261,224,159,-0.20800975482745,4.02785201451434,0.414325421586419,1
"193","GB40417",81,66,113,170,113,153,113,182,202,214,285,231,-0.107729750055017,4.27169328897724,0.65791253407494,1
"194","GB40422",142,130,217,243,226,252,314,382,536,429,475,439,0.205030079023581,5.22547273342497,0.32612267136336,1
"195","GB40423",52,45,73,130,64,74,63,60,54,76,69,38,-0.0934174574404929,3.1960002085147,0.82211025530152,1
"196","GB40424",103,88,148,222,172,213,207,238,447,269,316,310,0.0754503429849154,4.75599635675284,0.717351043511565,1
"197","GB40425",15,23,58,41,32,26,18,96,118,102,61,44,0.466017577092971,2.66878626374806,0.226371974388829,1
"198","GB40426",43,45,92,115,97,130,95,107,248,209,234,158,-0.0705439508633583,3.92937855096974,0.777727895754245,1
"199","GB40427",41,46,75,85,70,98,57,93,270,151,164,143,0.124817486423626,3.65631544309047,0.64985918882399,1
"200","GB40428",74,53,99,153,106,132,135,148,159,169,155,158,0.0298133707067678,4.00142668132088,0.870567357064712,1
"201","GB40429",435,359,859,1704,803,938,924,1181,1596,1167,1456,944,-0.168124301703678,6.95080302985459,0.544730792042109,1
"202","GB40431",90,21,58,52,37,163,25,69,19,108,125,27,-0.0952100080170003,3.13664247759947,0.854661652131089,1
"203","GB40434",155,155,190,408,329,342,409,469,787,647,732,481,0.187313870659592,5.61502404380859,0.419856022760314,1
"204","GB40435",59,50,87,127,113,104,128,155,169,177,191,144,0.0826162988590632,3.93175938142354,0.70595110941164,1
"205","GB40436",412,317,557,906,567,810,893,819,773,720,750,715,0.0568702081164516,6.44343169161415,0.825715364056195,1
"206","GB40437",63,50,106,111,80,122,106,122,151,152,223,125,-0.0550051140140203,3.84901764622604,0.845496635371609,1
"207","GB40439",58,42,57,103,68,100,61,118,130,99,183,81,0.00851499199838902,3.49978875571853,0.937961150984112,1
"208","GB40440",140,91,180,196,192,155,170,214,253,211,178,160,0.179237860568892,4.5385467268118,0.430976366537709,1
"209","GB40441",48,23,90,91,68,62,74,101,105,84,123,112,-0.206714112338659,3.33315957018665,0.407082225895131,1
"210","GB40442",98,35,110,131,89,131,142,133,189,230,202,188,0.095007574627948,4.07229130195586,0.688435085320852,1
"211","GB40444",295,180,391,592,339,342,386,472,468,416,518,431,-0.0234354786390736,5.68089925824327,0.932364105806974,1
"212","GB40446",154,107,160,180,186,186,225,207,310,199,248,195,0.275566755471451,4.66069446393063,0.226087415047013,1
"213","GB40448",705,936,889,1672,900,1087,1400,1666,1249,1060,1555,1664,0.223914860218151,7.33551897646145,0.484060597952383,1
"214","GB40451",533,88,414,562,320,1140,454,928,1105,1399,3012,1248,-0.356298168295555,6.63987757132482,0.352331707384427,1
"215","GB40452",55,16,104,100,91,150,87,138,448,324,445,329,-0.203867206090968,4.31321167870814,0.498830228157919,1
"216","GB40453",46,33,59,82,69,105,138,154,183,151,176,182,0.192046051749362,3.73858572736388,0.398041539558688,1
"217","GB40454",262,180,350,436,384,504,487,568,632,617,789,469,0.0693445095769045,5.83951069307182,0.745436171240692,1
"218","GB40456",317,209,547,874,491,537,522,536,707,505,560,444,-0.18331027452986,6.04537261381758,0.44511973310021,1
"219","GB40457",29892,24532,28288,123618,33321,28487,22924,46136,72021,25261,40274,24020,-0.104385089885148,12.4047430172153,0.788198656028603,1
"220","GB40459",168,89,197,255,188,205,232,260,272,249,260,163,0.165926006417653,4.75679385138595,0.456654090046589,1
"221","GB40460",2117,1311,2947,3527,1554,3415,3053,3050,2768,2817,3307,3617,-0.00944978811271964,8.48126013748744,0.976031069043396,1
"222","GB40461",820,474,1733,1558,1695,3465,3600,2608,3354,3443,3887,3381,-0.0958109496706787,8.15376813763432,0.756798366320326,1
"223","GB40462",11667,10049,9980,25812,11425,7334,8990,11391,11899,6209,7726,6652,0.236468428774965,10.6144417510038,0.521553445062818,1
"224","GB40463",53,39,140,145,103,143,118,171,299,217,287,216,-0.168385743343088,4.20042599872026,0.439327399133123,1
"225","GB40466",74,29,153,206,124,203,157,210,418,332,358,216,-0.0821138785268008,4.52665189858749,0.720022791191111,1
"226","GB40467",86,35,159,181,201,171,177,208,248,227,316,156,-0.236175388133606,4.42160326034606,0.313854319654477,1
"227","GB40473",116,63,209,258,183,207,201,247,350,246,288,207,-0.0878888674663848,4.70102023219792,0.670008519535624,1
