,NC_NP,NC_NR,NC_NS,NC_VC,NC_VP,NC_VR,NC_VS,NP_NR,NP_NS,NP_VC,NP_VP,NP_VR,NP_VS,NR_NS,NR_VC,NR_VP,NR_VR,NR_VS,NS_VC,NS_VP,NS_VR,NS_VS,VC_VP,VC_VR,VC_VS,VP_VR,VP_VS,VR_VS
NP.1_NP.6_NR.2_NS.1_VP.2_VS.1,2,3,0,0,51,167,0,343,4861,1151,1,5,1511,741,3,456,150,5,0,6045,5526,0,271,73,0,0,1,0
NP.2_NP.6_NR.2_VP.2_VS.1,0,4,301,0,103,332,0,1,3520,1,0,0,2,894,4,851,248,7,0,6468,5938,0,1784,1099,0,0,4,0
NP.1_NP.2_VP.2_VS.1,0,36,357,0,115,326,0,0,963,1,5,2,0,2991,11,1117,528,43,0,6548,6020,0,2185,1337,0,1,4,2
NP.1_NP.2_NP.6_VS.1,2,36,359,0,113,292,0,0,1145,1,0,1,2,2938,7,949,456,26,0,6532,5984,0,2528,1022,0,1,1731,2
NP.2_NP.6_NS.1_VS.1,1,13,357,0,57,226,0,0,3515,1,0,0,2,2845,5,799,372,24,0,6257,5732,0,2254,687,0,0,1402,0
NP.1_NR.2_NS.1,0,0,1,0,47,195,0,26,4587,130,0,0,1528,759,2,272,165,18,0,6047,5518,0,1583,132,0,1,2273,0
NP.1_NS.1_VP.2,0,3,1,0,75,177,0,143,4579,127,4,7,1514,2443,5,677,274,92,0,6082,5562,0,444,84,0,0,912,0
NP.1_NP.2_NP.6_NS.1,3,32,792,0,120,304,0,0,1511,1,0,1,7,2947,6,972,474,147,0,6342,5847,0,2627,1137,0,1,3085,1621
NP.1_NP.2_NR.2_VP.2,0,7,569,0,209,474,0,0,1153,1,0,14,3,1219,4,1197,464,47,0,6585,6059,0,2603,1608,0,1,2780,1896
NP.2_NP.6_NS.1_VP.2,1,21,488,0,102,301,0,0,3575,1,0,0,263,2876,7,952,456,151,0,6327,5794,0,1711,954,0,0,2323,1406
NP.2_NS.1_VP.2,0,23,500,0,105,317,0,0,3366,0,9,7,3,2915,9,1013,487,169,0,6357,5819,0,1783,1066,0,0,2338,1440
NP.1_NP.2_NS.1,0,31,852,0,167,333,0,0,1381,1,2,0,2,2989,7,1037,502,164,0,6352,5860,0,2748,1347,0,1,3143,1695
NP.1_NP.6_NR.2_NS.1_VP.2,2,3,0,0,68,197,0,353,4901,1268,1,15,2310,837,3,518,164,31,0,6096,5562,0,551,169,0,0,1388,370
NP.2_NR.2_VS.1,0,0,265,0,140,335,0,0,3330,1,0,4,0,926,2,600,263,1,0,6511,5942,0,2516,1166,0,0,1645,0
NP.1_NP.6_NS.1_VS.1,3,2,0,0,41,139,0,423,4840,1144,0,4,1479,2424,2,407,223,12,0,6028,5502,0,1370,62,0,0,138,0
NP.1_NP.2_VS.1,0,34,354,0,150,311,0,0,974,1,2,0,0,2963,7,1012,493,23,0,6554,6006,0,2701,1285,0,1,1862,0
NP.2_NR.2_NS.1,0,0,588,0,155,349,0,0,3385,1,0,1,5,1375,2,636,282,26,0,6303,5794,0,2579,1254,0,0,3061,1589
NP.1_NP.2_NP.6_VP.2,3,38,357,0,114,346,0,0,1191,1,1,1,7,2997,11,1125,532,198,0,6553,6034,0,2210,1366,0,1,2563,1636
NP.1_NS.1,0,3,1,0,44,170,0,144,4579,125,0,5,1503,2478,3,493,248,75,0,6040,5526,0,1455,69,0,1,2169,0
NP.2_NP.6_NR.2_NS.1,1,0,621,0,97,331,0,1,3623,1,0,2,350,1330,2,566,230,26,0,6293,5775,0,2502,1130,0,0,3030,1578
NP.2_NP.6_NR.2_VS.1,0,0,307,0,75,313,0,1,3532,1,0,2,2,890,2,561,207,1,0,6491,5920,0,2453,1062,0,0,1621,0
NR.2_NS.1_VP.2_VS.1,1,0,0,0,61,184,0,33,5159,941,4,12,1545,705,2,471,169,6,0,6028,5518,0,311,85,0,0,1,0
NR.2_NS.1_VS.1,1,0,1,0,44,194,0,27,5155,963,2,10,1580,729,2,194,153,1,0,6025,5490,0,1452,110,0,0,97,0
NP.1_NP.6_NS.1_VP.2_VS.1,2,3,3,0,57,135,0,402,4846,1135,1,14,1489,2406,4,609,237,17,0,6059,5536,0,99,65,0,0,0,0
NP.1_NP.2_NP.6_NR.2,2,6,515,0,203,381,0,0,1288,1,0,1,7,1162,3,806,301,28,0,6560,6023,0,2798,1430,0,1,3211,1777
NP.1_NR.2_VP.2_VS.1,0,2,0,0,78,183,0,18,4724,135,4,6,702,302,2,518,157,6,0,6253,5706,0,330,83,0,0,1,0
NP.2_NP.6_NR.2_VP.2,0,4,352,0,116,363,0,1,3588,1,0,2,396,993,4,936,307,35,0,6505,5975,0,2081,1326,0,0,2499,1628
NP.2_NR.2_VP.2,0,4,233,0,123,379,0,0,3389,1,9,8,13,991,4,974,364,37,0,6515,5993,0,2187,1376,0,0,2505,1647
NP.2_VP.2_VS.1,0,23,161,0,93,293,0,0,3300,0,9,20,0,2863,9,988,479,22,0,6484,5961,0,1704,953,0,0,1,0
NP.1_NP.2_VP.2,0,50,377,0,131,379,0,0,1027,1,28,13,3,3030,11,1163,571,209,0,6576,6059,0,2407,1461,0,1,2649,1721
NP.2_NP.6_VP.2_VS.1,0,20,194,0,91,282,0,0,3478,1,0,0,2,2827,8,935,442,21,0,6473,5941,0,1644,874,0,0,1,0
NP.1_NR.2_VS.1,0,0,0,0,44,182,0,19,4730,127,0,5,720,276,2,285,147,7,0,6283,5704,0,1545,122,0,1,136,0
NP.1_NP.2_NR.2,0,7,566,0,278,459,0,0,1154,1,2,0,2,1225,3,905,360,28,0,6578,6042,0,2938,1541,0,1,3259,1879
NP.1_NP.6_NR.2_NS.1,6,0,0,0,46,192,0,359,4911,1273,0,4,2308,860,2,220,157,18,0,6069,5539,0,1630,122,0,0,2358,471
NP.1_NR.2_VP.2,0,2,0,0,88,217,0,21,4763,138,4,7,1578,402,3,605,186,29,0,6298,5749,0,656,254,0,1,1301,3
NP.2_NS.1,0,14,464,0,105,309,0,0,3363,0,0,7,2,2905,5,885,479,130,0,6298,5793,0,2458,923,0,0,2986,1404
NP.2_NP.6_NS.1,1,15,468,0,98,290,0,0,3577,1,0,0,295,2886,5,849,437,121,0,6291,5791,0,2412,877,0,0,2954,1391
NP.1_NP.6_NS.1_VP.2,5,3,3,0,67,184,0,417,4896,1205,1,14,2274,2485,5,651,271,93,0,6100,5579,0,465,77,0,0,1079,0
NS.1_VS.1,0,2,1,0,43,164,0,203,5152,913,2,16,1545,2422,3,425,237,6,0,6023,5499,0,1360,67,0,0,76,0
NS.1_VP.2_VS.1,0,2,3,0,64,172,0,209,5144,902,9,15,1521,2407,3,635,266,13,0,6025,5515,0,94,77,0,0,1,0
NP.2_VS.1,0,13,191,0,102,281,0,0,3304,0,0,4,0,2875,6,859,446,20,0,6511,5947,0,2363,886,0,0,1532,0
NR.2_NS.1_VP.2,1,2,1,0,89,209,0,42,5190,1060,5,17,2477,777,2,555,190,37,0,6083,5553,0,515,244,0,0,1190,0
NP.2_NP.6_VP.2,0,22,174,0,102,321,0,0,3546,1,0,0,315,2894,9,997,474,155,0,6504,5966,0,1777,1092,0,0,2360,1467
NP.2_NP.6_VS.1,0,13,217,0,83,273,0,0,3500,1,0,0,2,2835,6,841,409,19,0,6488,5930,0,2308,792,0,0,1523,0
NP.1_VP.2_VS.1,0,3,0,0,73,161,0,135,4714,124,5,7,698,2412,3,631,265,17,0,6260,5713,0,235,78,0,0,1,0
NP.2_VP.2,0,23,158,0,109,352,0,0,3357,0,9,22,3,2924,9,1054,514,181,0,6512,5992,0,1989,1220,0,0,2398,1485
NP.1_NP.2_NP.6,2,33,357,0,162,337,0,0,1192,1,0,1,7,2992,7,1027,485,161,0,6573,6018,0,2686,1295,0,1,3134,1665
NP.1_NP.6_NR.2_VP.2_VS.1,2,3,0,0,62,180,0,356,5017,1235,1,4,1558,392,3,488,154,5,0,6275,5706,0,404,78,0,0,1,0
NP.1_VS.1,0,3,0,0,42,154,0,138,4718,123,0,5,699,2418,3,486,227,10,0,6280,5709,0,1417,68,0,1,124,0
NP.1_NP.6_NS.1,5,3,1,0,43,166,0,429,4902,1206,0,4,2275,2500,3,494,245,74,0,6069,5552,0,1510,72,0,0,2275,0
NP.1_VP.2,0,3,0,0,81,199,0,155,4758,139,4,7,1530,2481,5,707,302,104,0,6299,5755,0,537,197,0,0,1072,0
NP.1_NP.6_NR.2_VS.1,2,0,0,0,44,182,0,367,5010,1245,0,4,1575,399,2,210,148,1,0,6284,5709,0,1580,94,0,1,173,0
NP.1_NP.2,0,33,398,0,253,356,0,0,1041,1,2,0,2,3024,7,1084,524,175,0,6578,6040,0,2829,1448,0,1,3197,1728
NS.1_VP.2,1,2,1,0,81,198,0,232,5173,998,6,20,2448,2474,3,682,297,95,0,6081,5579,0,464,130,0,0,975,0
NP.2_NP.6_NR.2,0,2,339,0,149,345,0,1,3600,1,0,2,397,990,2,614,248,24,0,6530,5958,0,2587,1258,0,0,3085,1653
NP.2_NR.2,0,0,258,0,160,376,0,0,3395,1,0,7,4,1017,2,681,305,25,0,6535,5964,0,2688,1297,0,0,3099,1636
NP.1_NP.6_NR.2_VP.2,5,3,0,0,89,210,0,384,5059,1296,1,17,2341,453,3,563,181,25,0,6308,5764,0,588,263,0,0,1477,482
NP.1_NR.2,0,0,0,0,71,227,0,26,4774,182,0,5,1564,408,2,323,174,16,0,6320,5736,0,1666,226,0,1,2361,0
NR.2_NS.1,1,0,1,0,48,211,0,37,5188,1065,4,20,2475,785,2,273,169,9,0,6057,5542,0,1640,211,0,0,2321,0
NP.1_NP.6_VS.1,6,2,0,0,42,160,0,451,5004,1187,0,4,1515,2487,2,473,224,11,0,6276,5712,0,1441,62,0,0,149,0
NP.1_NP.6_VP.2_VS.1,2,3,0,0,64,160,0,435,5005,1165,1,13,1513,2469,5,623,245,17,0,6279,5713,0,241,77,0,0,0,0
NP.6_NR.2_NS.1_VS.1,3,0,1,0,43,195,0,596,5421,2198,0,9,2403,811,2,197,147,1,0,6037,5502,0,1547,108,0,0,166,0
NS.1,1,2,1,0,47,212,0,229,5183,1041,2,18,2434,2481,3,494,260,76,0,6060,5542,0,1522,87,0,0,2239,0
NP.6_NR.2_NS.1_VP.2_VS.1,3,0,3,0,54,190,0,570,5423,2174,0,6,2387,786,2,464,154,5,0,6060,5543,0,351,125,0,0,1,0
NP.1,0,3,0,0,44,206,0,150,4754,129,0,5,1526,2494,3,534,241,73,0,6315,5745,0,1580,174,0,1,2287,0
NR.2_VP.2_VS.1,1,2,0,0,81,201,0,41,5361,996,5,14,1585,352,2,530,167,6,0,6261,5714,0,411,165,0,0,1,0
NP.2,0,19,177,0,136,323,0,0,3351,1,1,6,2,2925,6,916,483,129,0,6538,5973,0,2555,1159,0,0,3039,1493
NP.2_NP.6,0,13,192,0,109,317,0,0,3570,1,0,2,303,2913,6,881,452,119,0,6532,5955,0,2505,1041,0,0,3026,1501
NP.1_NP.6_VP.2,6,3,0,0,79,204,0,443,5047,1237,1,11,2299,2525,5,703,269,91,0,6316,5769,0,528,187,0,0,1209,0
NR.2_VS.1,1,0,0,0,44,194,0,43,5375,1022,2,14,1606,362,2,272,157,1,0,6282,5704,0,1585,148,0,0,127,0
NP.1_NP.6_NR.2,6,0,0,0,47,223,0,396,5059,1301,0,4,2344,501,2,307,169,16,0,6333,5759,0,1697,251,0,1,2440,579
NP.6_NS.1_VS.1,4,0,1,0,41,163,0,612,5415,2162,0,10,2361,2488,2,436,226,4,0,6042,5512,0,1440,80,0,0,146,0
NR.2_VP.2,1,2,0,0,92,237,0,45,5399,1112,5,21,2509,438,2,599,198,34,0,6307,5750,0,786,297,0,0,1354,397
NP.6_NR.2_NS.1_VP.2,3,3,3,0,87,217,0,608,5457,2276,0,15,3203,885,3,520,182,30,0,6099,5571,0,625,276,0,0,1462,570
NP.6_NS.1_VP.2_VS.1,3,2,3,0,62,176,0,602,5425,2129,1,7,2340,2471,2,624,253,12,0,6063,5546,0,252,80,0,0,1,0
VP.2_VS.1,0,2,0,0,75,186,0,227,5346,934,9,15,1544,2451,3,659,276,13,0,6283,5727,0,350,81,0,0,1,0
VS.1,0,2,0,0,44,177,0,222,5349,946,3,16,1572,2458,3,489,240,7,0,6282,5720,0,1478,74,0,0,0,0
NP.1_NP.6,7,3,0,0,44,192,0,452,5050,1245,0,4,2300,2539,3,533,249,81,0,6319,5754,0,1600,120,0,0,2359,0
VP.2,1,2,0,0,88,211,0,235,5383,1063,8,22,2474,2512,5,718,324,104,0,6312,5763,0,573,241,0,0,1111,0
NP.6_NR.2_NS.1,4,0,1,0,49,211,0,621,5463,2318,0,8,3220,904,2,237,167,17,0,6085,5564,0,1724,281,0,0,2445,618
NR.2,1,0,0,0,73,229,0,43,5401,1121,2,19,2499,445,2,292,182,9,0,6327,5740,0,1687,292,0,0,2391,417
NP.6_NS.1_VP.2,4,2,3,0,73,198,0,615,5465,2240,1,19,3184,2536,4,674,278,87,0,6097,5588,0,511,139,0,0,1199,0
NP.6_NR.2_VP.2_VS.1,3,3,0,0,83,195,0,608,5587,2227,0,6,2426,455,3,491,168,6,0,6272,5716,0,520,230,0,0,1,0
NP.6_NR.2_VS.1,3,0,0,0,45,208,0,620,5591,2264,0,7,2444,495,2,201,151,1,0,6287,5717,0,1685,195,0,0,209,0
NP.6_NS.1,3,2,1,0,46,201,0,625,5443,2246,0,8,3192,2562,3,500,259,76,0,6083,5562,0,1623,115,0,0,2370,0
NP.6_VP.2_VS.1,3,2,0,0,69,187,0,615,5592,2197,1,8,2375,2495,4,642,252,13,0,6290,5729,0,448,105,0,0,1,0
NP.6_VS.1,3,0,0,0,44,173,0,621,5590,2201,0,8,2391,2524,3,490,234,7,0,6294,5721,0,1553,102,0,0,173,0
NP.6_NR.2_VP.2,3,3,0,0,89,241,0,640,5622,2310,2,8,3242,540,3,592,184,29,0,6320,5776,0,812,340,0,0,1637,694
NP.6_VP.2,4,2,0,0,79,211,0,631,5622,2268,3,8,3220,2566,4,716,304,85,0,6327,5784,0,656,249,0,0,1388,211
NP.6_NR.2,10,0,0,0,73,248,0,650,5625,2343,0,8,3258,546,2,298,173,9,0,6347,5761,0,1791,344,0,0,2500,725
NP.6,3,2,0,0,69,215,0,641,5616,2293,0,8,3233,2584,3,545,260,74,0,6322,5764,0,1727,240,0,0,2436,460
