"","ID","NC.1","NC.2","NC.3","NP.2","NP.4","NP.6","NC.4","NC.5","NC.6","NP.1","NP.3","NP.5","logFC","logCPM","PValue","FDR"
"17","GB40029",34,18,101,49,19,46,18,11,29,29,28,54,0.118655875377726,2.36906211432316,0.702598972948995,1
"18","GB40030",90,89,138,101,70,84,82,34,96,293,68,99,0.236914491494282,3.90188785673268,0.434327831010729,1
"19","GB40031",803,778,1226,717,511,908,478,262,819,1205,535,1139,0.0829284434859452,6.78669044694807,0.767263778695024,1
"20","GB40032",325,401,244,309,308,218,265,514,338,639,298,290,-0.505582278238309,5.86526599536913,0.185080435724492,1
"21","GB40033",390,317,371,291,281,189,216,278,290,605,339,320,-0.157238945180854,5.64345671211342,0.582427904933851,1
"22","GB40047",26,28,72,23,19,30,6,24,26,45,21,20,-0.289663073131327,2.10793756888478,0.429937139704489,1
"23","GB40054",4603,2099,2920,2987,2108,2779,3058,2397,1592,2415,2684,2655,-0.382330312471777,8.72926791835738,0.296089147549661,1
"24","GB40056",285,169,301,224,120,237,153,76,227,341,191,251,0.0294353878029423,4.94006124947218,0.899309314747006,1
"25","GB40057",582,619,855,564,400,576,308,247,357,434,496,554,-0.0628322372447665,6.18946900921119,0.804377066768543,1
"26","GB40058",64,82,63,60,60,58,50,59,28,34,68,44,-0.345617285241635,3.20766029722682,0.371114198498153,1
"27","GB40063",237,134,167,157,132,154,74,76,146,245,177,126,0.120609086364336,4.49463002010964,0.646784037217312,1
"28","GB40064",193,149,183,332,97,384,32,17,76,189,26,476,1.18764106301182,4.58538656012054,0.0175009494673598,1
"29","GB40067",113,60,249,99,36,124,56,26,97,123,99,141,0.0434440610357565,3.79868247348435,0.869118948954946,1
"30","GB40070",151,97,202,132,99,114,108,37,162,167,139,160,0.00768464246220707,4.24751571575494,0.966548640327294,1
"31","GB40071",189,125,245,150,71,119,99,54,130,211,153,158,-0.0798396502186772,4.34017570484605,0.717814457868992,1
"32","GB40072",455,480,620,326,281,302,199,137,411,798,368,428,0.0242735031824598,5.82462326701677,0.92659342886929,1
"33","GB40073",886,842,1063,709,549,592,523,252,574,1263,586,732,-0.0189743093680672,6.67958779813184,0.947742110493639,1
"34","GB40074",231,204,165,273,139,98,56,274,133,76,184,78,-0.699718857745228,4.75533462426359,0.140449427141316,1
"35","GB40075",48,53,269,126,28,89,26,11,40,42,50,111,0.165234314393576,3.27634795481387,0.636144906253142,1
"36","GB40076",292,156,382,161,123,118,42,33,201,207,166,160,-0.136752052254551,4.53120512847515,0.667578246456203,1
"37","GB40077",2054,1091,3511,3490,1356,3855,1281,474,1039,1472,638,3187,0.529204207797625,8.0682457536811,0.15829102674315,1
"38","GB40080",84,71,15,30,30,15,8,38,20,28,34,23,-0.777049589937826,2.44913566983711,0.133687283085812,1
"39","GB40083",505,268,556,353,189,219,203,184,301,533,2470,264,0.933729886426972,6.20684246936631,0.0529945499303797,1
"40","GB40084",64,60,122,52,26,74,16,24,56,106,83,53,0.157238190661413,3.12408487309692,0.616959341520475,1
"41","GB40089",501,409,182,210,146,87,118,205,111,126,211,191,-0.865165788541451,5.0355286483615,0.0404451106319682,1
"42","GB40091",45,50,116,85,20,49,27,19,46,68,34,68,0.00547212830967729,2.88826200068798,1,1
"43","GB40092",576,307,564,642,148,940,82,57,338,372,177,675,0.621215202397499,5.75482780296447,0.10163463400104,1
"44","GB40094",117,80,105,170,60,75,98,52,94,127,126,109,0.0388199971428147,3.93204034543119,0.918539591394026,1
"45","GB40095",243,318,443,332,154,170,128,153,116,122,143,175,-0.47446030953753,4.95154811669019,0.118055573123409,1
"46","GB40098",192,151,179,159,91,126,83,56,125,149,131,160,-0.0711010828208024,4.2876219517747,0.747374511151623,1
"47","GB40101",51,58,63,50,41,23,19,46,44,62,53,44,-0.264268506394794,2.87246647798911,0.427347782442319,1
"48","GB40102",186,127,164,120,99,139,101,43,164,206,173,197,0.120931920208148,4.38356011581257,0.610367046434167,1
"49","GB40106",98,76,154,132,49,66,69,34,78,92,219,84,0.246283944996313,3.8111283993646,0.430200522642523,1
"50","GB40107",102,91,128,112,53,101,68,39,110,140,108,77,-0.0243801396567408,3.7947655378533,0.911280413703168,1
"51","GB40108",1559,1766,2349,1828,1109,1415,791,465,1478,2451,1293,1662,0.131227870096298,7.73669324888583,0.648640263475495,1
"52","GB40109",886,807,1539,1306,737,769,595,779,535,634,660,629,-0.322072548318771,6.98578784087075,0.359917832109102,1
"53","GB40110",35,27,36,43,18,9,32,14,16,25,22,12,-0.499081995959275,1.95496071582318,0.201584273090266,1
"54","GB40112",169,113,194,234,71,107,123,68,173,100,200,121,-0.188399574413013,4.37694394395021,0.500431570813959,1
"55","GB40113",1205,846,1624,969,567,1154,571,383,887,1220,728,1161,-0.0295745291685998,7.05882873310146,0.912965285651917,1
"56","GB40114",101,39,145,88,33,76,83,7,49,96,119,112,0.258930375203003,3.47716735485007,0.46523463334577,1
"57","GB40118",432,465,62,279,165,108,59,110,101,200,221,110,-0.341544920290822,4.87958243894415,0.441112517113457,1
"58","GB40119",292,180,397,359,191,341,189,84,219,266,144,553,0.321849068563014,5.24597793403277,0.24264746691444,1
"59","GB40124",227,341,259,218,190,139,193,139,240,515,245,209,-0.135783678332424,5.1992708513067,0.634549584972892,1
"60","GB40126",104,54,308,185,38,119,71,11,73,68,116,117,0.148595923624062,3.8110497638094,0.665915821408238,1
"61","GB40129",35,23,64,54,17,20,17,10,13,16,16,30,-0.114109890565304,1.96500800331998,0.777522674719446,1
"62","GB40134",8920,8746,12290,9655,5590,4283,4560,5746,3859,3540,7082,5490,-0.459382976908657,9.98732299449897,0.231974407412688,1
"63","GB40135",15,22,47,36,18,17,30,15,19,21,22,19,-0.325505531846745,1.91247929956347,0.34211681121216,1
"64","GB40136",5612,3979,17504,21181,5711,16930,1418,200,3298,3708,592,19631,1.31539541846284,10.0427396034131,0.0390978633308094,1
"65","GB40137",17053,7070,13058,24793,6678,23032,2358,622,10680,11918,4764,15192,0.810780075419324,10.5631676180671,0.0765463442170682,1
"66","GB40139",417,412,119,86,163,55,37,128,240,336,242,101,-0.595376819138253,4.89354368531093,0.227889294063946,1
"67","GB40140",1514,961,2565,2284,734,1227,503,424,784,791,1465,1155,0.197866909423267,7.36941552632177,0.522731974907489,1
"68","GB40141",117,59,194,80,37,95,26,11,65,98,436,70,0.969438481657017,3.9033325167976,0.0559632637330249,1
"69","GB40145",1056,688,276,351,263,165,152,208,241,510,327,279,-0.593837185087853,5.79571617792632,0.130184171638247,1
"70","GB40148",1588,1079,5123,752,1018,473,604,313,3411,1758,3643,797,-0.333332879505813,7.85401169600753,0.499675816971559,1
"71","GB40149",49,30,31,21,24,18,33,22,40,53,31,32,-0.429987892654626,2.35905957185206,0.17164913767178,1
"72","GB40150",1028,738,845,904,447,545,523,729,246,349,983,545,-0.412989786839195,6.70722951378791,0.315067568573797,1
"73","GB40151",260,228,621,344,124,343,144,56,209,447,190,352,0.23578577142727,5.21048798915808,0.368032013728297,1
"74","GB40157",9303,5444,13358,8827,4743,11983,5231,1794,6344,6751,4671,13765,0.241328909416912,10.0503169514088,0.470807128394434,1
"75","GB40158",84,35,60,66,48,98,11,15,38,30,20,64,0.421608859154362,2.8041288972267,0.200495062929472,1
"76","GB40159",317,314,315,255,204,212,140,138,172,264,195,252,-0.160774029334716,5.11541243592823,0.509616407166604,1
"77","GB40162",132,85,196,258,48,102,40,14,64,67,72,200,0.500590485709222,3.8410855393917,0.147003238340621,1
"78","GB40163",10715,4261,8092,19494,4611,15312,2118,866,3587,8428,4002,12728,1.12530586715223,10.027781570967,0.00937089375265114,1
"79","GB40164",1398,1570,3768,1769,1469,1618,943,321,1145,1452,493,1729,-0.01416936089195,7.66426968050396,0.967510665570871,1
"80","GB40166",156,47,429,280,53,347,153,16,82,94,83,306,0.424254763632432,4.50227779698819,0.342852626941497,1
"81","GB40168",4391,1939,5203,3948,1817,3477,3113,810,1589,2606,2629,3830,0.0182161919135511,8.70166943330875,0.956058469527378,1
"82","GB40169",204,79,190,64,57,201,156,27,77,106,115,191,-0.115379954952213,4.14631055033746,0.748030729665413,1
"83","GB40203",171,79,213,202,71,68,106,75,66,121,109,139,-0.181268598156735,4.12573565297977,0.525572915798637,1
"84","GB40205",296,237,518,262,149,351,144,69,249,345,231,324,0.104833451598225,5.19470840153499,0.637143714116884,1
"85","GB40206",122,64,179,130,55,78,52,39,71,84,62,119,-0.0700734405578721,3.65081446280959,0.781161069145729,1
"86","GB40207",90,73,129,59,49,62,52,31,113,132,96,119,-0.0431919508454106,3.6073926470566,0.870192008179264,1
"87","GB40208",367,315,545,368,195,344,251,167,365,591,332,431,-0.012809673117087,5.68074603691539,0.948182803187649,1
"88","GB40211",176,114,111,105,73,96,83,63,102,142,77,81,-0.376664220706991,3.95629607928402,0.16453912134202,1
"89","GB40212",707,632,1044,917,378,2366,147,77,345,1345,206,1158,1.14457247194835,6.68040596756714,0.0165354891787322,1
"90","GB40217",98,161,314,93,55,103,66,61,132,86,114,184,-0.455891011975563,4.12091853157368,0.120138566662464,1
"91","GB40218",1180,183,809,754,578,1842,1059,117,815,1058,278,1222,0.289913390737358,6.8922529374753,0.539163744513649,1
"92","GB40221",78,35,111,31,27,54,30,6,50,70,50,94,0.0912108196188114,2.8865912808524,0.75982454548481,1
"93","GB40222",185,158,296,214,105,183,110,71,133,217,138,178,0.00783138266797331,4.57234023511683,0.981408820314202,1
"94","GB40225",24,29,108,45,6,32,4,8,21,27,17,68,0.0815905689845424,2.13987926045115,0.854256933897291,1
"95","GB40226",280,200,156,154,116,139,109,108,123,199,166,146,-0.290976249584243,4.59183471042046,0.286594188819488,1
"96","GB40232",4497,4092,6109,4027,3162,4895,2935,1910,5149,6695,4262,6766,0.107150662424881,9.35696077089884,0.710974341981477,1
"97","GB40234",271,230,395,368,142,170,127,114,167,144,212,254,-0.122641435074151,4.96872083553021,0.62256289885455,1
"98","GB40237",1813,1471,3726,2195,1046,2146,1154,566,1855,2566,1527,2212,0.0836318486179614,8.00264300974627,0.767625139926487,1
"99","GB40238",66,44,139,73,46,85,29,20,80,104,69,95,0.293966820980615,3.32465928416163,0.266939685900177,1
"100","GB40239",123,95,203,99,88,156,70,40,153,162,108,166,0.110772728433557,4.13199197420508,0.639205967693129,1
"101","GB40240",24812,20219,30958,35309,12562,14408,26082,10637,27355,38308,21003,24470,-0.198212675175812,11.7707445361378,0.539988674608309,1
"102","GB40243",103,82,53,60,28,42,29,36,50,73,66,57,-0.322448368636164,3.10625204228753,0.297358308792533,1
"103","GB40251",12,15,83,40,10,36,11,10,20,11,18,63,0.250560671906586,1.9752008845414,0.557052625971651,1
"104","GB40252",964,1037,508,662,847,416,593,953,661,2074,743,597,-0.242932291526666,7.08594813496853,0.564925720888814,1
"105","GB40253",3710,2195,3607,3186,1687,1709,2120,777,4345,2674,3243,2817,-0.228885596386902,8.58933476256765,0.476399881274762,1
"106","GB40259",501,581,472,367,453,322,408,397,436,1288,530,371,-0.0719289986738215,6.30385364516057,0.830772971220613,1
"107","GB40261",2157,1510,3683,7080,1538,7676,580,301,2837,2356,994,3945,1.10446642196563,8.58820057833209,0.0180405781302036,1
"108","GB40263",278,596,461,510,261,180,140,183,129,561,209,308,-0.00648758491439354,5.54054914940195,0.984393346763503,1
"109","GB40265",92,89,227,127,47,124,32,45,49,60,44,97,-0.120831762565639,3.59870744221861,0.68065044551626,1
"110","GB40266",454,333,306,266,153,163,129,109,186,179,200,191,-0.485726691602281,5.0284664988095,0.0706947850967952,1
"111","GB40267",627,424,549,407,343,433,319,197,434,684,413,546,-0.00620003912182548,6.03400439199749,0.979846892945406,1
"112","GB40269",126,128,309,140,89,213,74,68,150,161,131,180,0.0246054699555861,4.39625701031949,0.923256820653178,1
"113","GB40270",81,70,99,99,66,75,63,52,95,165,93,93,0.126705659250384,3.72913416057958,0.651060654208285,1
"114","GB40273",123,75,331,167,71,147,79,32,73,78,64,133,-0.0611950981281386,3.97278999141739,0.848514923036057,1
"115","GB40274",54,45,89,72,45,48,28,21,37,50,33,54,0.0749321135881851,2.83654274017945,0.769044189154329,1
"116","GB40278",974,671,1597,1084,543,1012,674,197,673,714,555,1112,0.0283355556531175,6.8334288191962,0.921733579759557,1
"117","GB40280",2507,2959,8885,2386,2054,2583,1593,1841,2350,3948,2567,2670,-0.335985773871942,8.73414946587251,0.308689173615407,1
"118","GB40282",64,120,262,80,42,81,26,66,77,82,90,134,-0.349840139388625,3.74226330940521,0.298120634848429,1
"119","GB40283",87,72,219,147,52,153,51,29,97,79,98,127,0.223573763858058,3.81947775108906,0.397090629734476,1
"120","GB40284",288,238,1102,991,269,1354,75,24,768,407,36,1694,1.02397004649211,6.2771777710722,0.113746338879335,1
"121","GB40287",647,228,728,412,344,612,304,192,389,555,383,623,0.144739763010087,6.01613752333244,0.583852866358865,1
"122","GB40288",178,152,319,160,66,224,79,39,108,151,75,177,-0.0633451646748568,4.30852703170665,0.815520518056141,1
"123","GB40289",436,368,745,426,223,526,298,141,501,535,300,472,-0.111547700321545,5.87285670973165,0.646943041728498,1
"124","GB40296",116,89,225,123,61,119,68,53,109,127,94,109,-0.1546720485082,3.9574271799516,0.49444472252926,1
"125","GB40297",1262,1054,1304,982,823,1013,817,515,1037,1268,920,1108,-0.137936631357344,7.23111301366552,0.625065988492098,1
"126","GB40299",2231,1701,1782,300,957,178,100,91,1412,2709,618,840,-0.288570098194009,7.17015123516226,0.627729712516376,1
"127","GB40300",25,24,46,24,26,16,31,22,27,38,16,28,-0.446825902367338,2.12566713503306,0.183171356176111,1
"128","GB40301",922,701,1647,1041,611,1023,961,469,766,1254,622,824,-0.204399765138673,7.05187155756504,0.49143471388417,1
"129","GB40302",5031,7646,3214,4146,6396,2048,2811,3826,2327,11643,2971,2702,-0.0221079268263708,9.49804686896308,0.962675196410475,1
"130","GB40303",27,42,74,33,21,40,13,59,18,17,33,38,-0.675061376999511,2.51392228317769,0.141850315148497,1
"131","GB40304",473,457,289,487,520,120,255,273,329,762,635,248,0.190586734568243,5.98314624210074,0.635946407800229,1
"132","GB40305",8147,10601,3862,6192,8583,2539,5281,5932,4461,16189,6380,4147,-0.122196377341149,10.1012899319967,0.791531770050582,1
"133","GB40306",349,413,379,255,246,166,245,392,177,234,273,278,-0.759737017917124,5.55763096672923,0.0474088240716544,1
"134","GB40307",58,43,71,42,34,45,41,22,56,79,60,57,-0.0262388827443155,2.93427517625217,0.904647652233162,1
"135","GB40308",465,344,623,442,300,468,275,141,393,645,411,491,0.193084363852308,5.89423725709795,0.406650342333233,1
"136","GB40309",330,262,575,254,203,333,181,174,352,544,255,384,-0.0716259485205382,5.52802399276356,0.759079809423259,1
"137","GB40310",240,377,303,684,236,145,62,159,89,555,165,218,0.471678707447993,5.28504972468336,0.250414255159628,1
"138","GB40311",632,571,429,435,411,331,426,272,472,1040,425,359,-0.151875540205652,6.19619398733327,0.626195480847209,1
"139","GB40312",199,163,724,449,93,320,105,36,177,224,158,394,0.317656608316232,5.03244723498764,0.321333342059888,1
"140","GB40313",320,198,437,335,125,207,93,59,158,185,165,256,0.0128168501787191,4.85886804498636,0.938129770318795,1
"141","GB40316",35,56,159,73,30,44,56,14,49,41,41,49,-0.42396887014718,2.95251170059908,0.211128260293765,1
"142","GB40318",113,110,100,84,69,74,60,52,56,85,66,67,-0.31034562430578,3.59179651273999,0.275738601836079,1
"143","GB40319",48,25,108,40,14,67,13,10,38,47,30,59,0.120157761738127,2.52947626763519,0.702114430788847,1
"144","GB40320",501,554,961,532,320,477,324,184,496,1139,590,479,0.125264374160227,6.25917751848385,0.644925334221749,1
"145","GB40335",78,70,415,432,41,446,59,8,122,77,55,311,0.982371336256472,4.50166747747822,0.0606511484675015,1
"146","GB40336",919,711,1571,3051,551,2148,542,129,1200,773,491,1765,0.730565306103229,7.28112942875745,0.0825266896361992,1
"147","GB40337",56,53,335,228,34,130,116,42,66,65,44,90,-0.256136452749293,3.86552348428408,0.524630541462909,1
"148","GB40338",77,62,90,69,41,58,70,36,89,84,65,74,-0.324697770943491,3.37526900792866,0.192111765509972,1
"149","GB40339",185,125,300,283,102,266,179,53,161,234,90,229,0.110723716708316,4.71191963405999,0.693357197445111,1
"150","GB40341",240,167,401,223,110,232,103,49,170,220,171,303,0.138080614684367,4.77486402644051,0.536596472973367,1
"151","GB40343",323,229,487,234,88,231,105,53,139,174,187,239,-0.193990566521293,4.81696888283044,0.431590262800142,1
"152","GB40348",508,387,527,501,222,250,215,151,231,280,311,412,-0.140672954557061,5.58539816339551,0.569799162060691,1
"153","GB40349",299,377,306,265,249,226,202,389,250,629,233,324,-0.349095130923813,5.65192066920536,0.307547353065845,1
"154","GB40350",107,83,286,135,35,100,32,26,84,62,106,98,-0.125336776794902,3.6952995751123,0.700432772367326,1
"155","GB40355",126,106,126,123,69,104,72,50,77,157,124,107,0.119551352186187,3.94079981212523,0.636668212500918,1
"156","GB40356",71,29,47,29,17,40,8,9,45,35,34,39,-0.139993908764617,2.30341130658884,0.726921553345904,1
"157","GB40357",151,112,286,169,94,146,91,45,143,216,134,157,0.0893289342442298,4.35663366622323,0.682849567616816,1
"158","GB40358",75,70,170,83,49,107,55,30,89,125,72,123,0.102104921497478,3.63840271309204,0.68416672735106,1
"159","GB40359",51,52,175,61,26,84,42,27,55,69,46,80,-0.184901626546271,3.17806223077134,0.522766052197106,1
"160","GB40360",378,351,613,338,266,480,208,161,434,544,419,597,0.184355130314992,5.83568694176438,0.442102969776554,1
"161","GB40361",103,81,187,91,47,116,50,40,91,93,99,125,-0.0272008622351053,3.7441739279946,0.925674706817698,1
"162","GB40362",28,31,54,40,18,45,11,9,42,41,35,39,0.245110979503869,2.27701774905468,0.406667995495073,1
"163","GB40364",291,158,330,208,143,232,153,82,290,309,269,267,0.020261641872628,5.0363773606522,0.928719997862438,1
"164","GB40365",198,172,294,240,128,201,120,103,163,226,226,232,0.0990201604765288,4.81616163083138,0.662700117660694,1
"165","GB40377",39,29,41,20,11,20,9,10,16,33,39,26,-0.0206794954190867,1.89031461594911,0.974243411365087,1
"166","GB40381",34,22,34,33,18,16,13,23,28,37,30,25,-0.159436068857582,2.05607006164816,0.57687056333077,1
"167","GB40382",336,202,281,256,171,186,168,111,189,269,222,228,-0.101162373553426,5.01796546596676,0.655627311828784,1
"168","GB40385",155,91,276,184,66,128,56,27,151,156,145,174,0.180175475797632,4.1958289334907,0.478838118453963,1
"169","GB40386",168,114,164,189,80,75,88,96,85,143,99,115,-0.274381998340257,4.16768138489684,0.322383446971428,1
"170","GB40387",176,108,259,141,84,156,96,36,145,220,121,142,0.017364606623404,4.30314207950068,0.935880400498108,1
"171","GB40388",202,173,320,156,113,202,116,63,209,215,170,195,-0.119536647118334,4.67283817008918,0.593658254435639,1
"172","GB40389",3680,3993,4801,5788,2281,6324,1978,3520,2364,2805,2491,5098,-0.0418809467449504,9.16137042405711,0.910625308015585,1
"173","GB40390",29,15,46,29,9,12,27,20,23,19,42,22,-0.464903127429127,1.96625035322952,0.186383705487661,1
"174","GB40391",130,90,271,132,68,129,84,69,145,231,90,197,-0.0468313150811915,4.27667312346187,0.834598980502374,1
"175","GB40392",144,98,112,133,42,262,44,25,61,97,79,124,0.508717721493599,3.85030825210422,0.111656226961243,1
"176","GB40395",1692,1037,1783,1301,983,1242,946,615,2126,2317,2027,1737,0.0707427518379778,7.75320297066219,0.806505377842692,1
"177","GB40396",89,52,80,63,47,59,62,28,64,74,51,70,-0.205456859668865,3.2269113838047,0.433176919812736,1
"178","GB40398",145,93,133,118,84,83,81,73,119,143,122,138,-0.112431617580623,4.07727423455772,0.624317409563133,1
"179","GB40399",79,41,153,62,26,60,48,18,83,95,73,82,-0.137864663113456,3.26515495945529,0.630462372652584,1
"180","GB40400",65,51,103,112,20,117,19,7,80,60,67,63,0.42184235275826,3.14809659435694,0.243000260723369,1
"181","GB40401",31,15,68,36,14,33,12,4,32,20,24,30,-0.0037794209675611,1.94920864621287,0.950657278828028,1
"182","GB40405",1116,618,1762,1140,532,1097,589,281,788,884,711,1242,0.0740058176090452,6.9589905946898,0.789734552874826,1
"183","GB40409",76,34,51,111,30,140,19,8,53,91,61,64,0.96479464497495,3.12686804260915,0.0126241592934979,1
"184","GB40410",123,100,337,144,62,266,78,39,112,196,149,337,0.52005549079963,4.45705362586313,0.0932370186651712,1
"185","GB40411",115,52,68,79,47,65,35,34,50,70,46,88,0.00120531751617888,3.22480042122936,1,1
"186","GB40414",185,135,241,164,99,131,135,43,128,173,160,200,-0.00576635449230813,4.43181674624592,0.994038199477577,1
"187","GB40415",71,64,301,99,46,183,52,28,131,154,75,166,0.173970088984338,3.94814456869715,0.585571628061515,1
"188","GB40417",175,105,252,172,82,159,81,66,113,170,113,153,-0.00436668254623518,4.29424955899627,0.978959855415224,1
"189","GB40422",383,239,403,341,162,199,142,130,217,243,226,252,-0.201795298630385,5.15007665136378,0.377538161704463,1
"190","GB40423",59,40,67,61,36,50,52,45,73,130,64,74,0.00830660198384449,3.26532094603358,0.963638543547977,1
"191","GB40424",238,178,305,226,104,149,103,88,148,222,172,213,-0.0890886155240649,4.68468272839103,0.673999308679293,1
"192","GB40425",76,31,70,21,18,22,15,23,58,41,32,26,-0.848018935131107,2.44122945170101,0.0214014769963513,1
"193","GB40426",93,74,264,128,40,73,43,45,92,115,97,130,-0.107685239306219,3.78372906076009,0.6966211421996,1
"194","GB40427",84,66,146,77,52,93,41,46,75,85,70,98,-0.0608399289325294,3.51953530983499,0.799605325538953,1
"195","GB40428",124,102,170,108,62,105,74,53,99,153,106,132,-0.0554572093811967,3.97390008327798,0.783375023897515,1
"196","GB40429",1044,1000,1253,795,715,763,435,359,859,1704,803,938,0.0957133575223765,6.99289402526824,0.744467149321167,1
"197","GB40431",60,12,90,50,27,121,90,21,58,52,37,163,0.185913545924415,3.27115336691547,0.684069020511907,1
"198","GB40434",297,285,638,398,222,302,155,155,190,408,329,342,0.144164244097999,5.46374938240437,0.547799082583472,1
"199","GB40435",112,122,197,130,57,109,59,50,87,127,113,104,-0.0778461058316282,3.93271348528829,0.733122294373033,1
"200","GB40436",787,574,793,594,498,609,412,317,557,906,567,810,0.0424017528443865,6.50703229319654,0.87494148846638,1
"201","GB40437",129,74,200,120,63,112,63,50,106,111,80,122,-0.12744968855614,3.88814533053105,0.581079552108278,1
"202","GB40439",154,86,100,47,48,99,58,42,57,103,68,100,-0.250234056142194,3.57815523381581,0.388352627742044,1
"203","GB40440",245,186,199,160,120,140,140,91,180,196,192,155,-0.28567997194074,4.65815864607533,0.241159744456847,1
"204","GB40441",94,48,117,63,37,74,48,23,90,91,68,62,-0.176776004318199,3.30426430913633,0.518812116770757,1
"205","GB40442",117,95,209,159,61,96,98,35,110,131,89,131,-0.106978402558195,3.98989677538572,0.658052876883538,1
"206","GB40444",365,282,495,396,225,325,295,180,391,592,339,342,-0.0629606646762111,5.69605169789716,0.779997486286963,1
"207","GB40446",165,156,203,210,122,116,154,107,160,180,186,186,-0.15947291935467,4.63685292640563,0.503338018367813,1
"208","GB40448",1286,881,1554,1329,626,1153,705,936,889,1672,900,1087,-0.179340941913399,7.34870376942081,0.56031469367966,1
"209","GB40451",580,375,1305,1035,261,1424,533,88,414,562,320,1140,0.483355394719752,6.49442431301148,0.217060298300072,1
"210","GB40452",109,80,326,141,44,172,55,16,104,100,91,150,0.100977011434435,3.94285074822687,0.723393889435563,1
"211","GB40453",137,86,149,120,59,102,46,33,59,82,69,105,0.0129100106999509,3.64810270915615,0.948647153912889,1
"212","GB40454",486,375,606,474,253,459,262,180,350,436,384,504,0.0161538017630754,5.84379545833736,0.948173951194122,1
"213","GB40456",512,418,546,424,330,345,317,209,547,874,491,537,0.043167784447568,6.08005661515199,0.867256299262304,1
"214","GB40457",46819,60554,26496,39070,48446,17625,29892,24532,28288,123618,33321,28487,0.138824698509086,12.6518602454469,0.75364245158324,1
"215","GB40459",270,229,251,152,152,147,168,89,197,255,188,205,-0.279449086842675,4.84342946303417,0.252118857153849,1
"216","GB40460",2724,2038,4476,3512,1856,3549,2117,1311,2947,3527,1554,3415,-0.0126787525172954,8.63421934842412,0.966195538293749,1
"217","GB40461",1623,1193,5161,1998,1059,3669,820,474,1733,1558,1695,3465,0.365898785099682,8.08259186055806,0.302945081902993,1
"218","GB40462",15490,13392,4601,8649,13634,3421,11667,10049,9980,25812,11425,7334,-0.24409404660498,10.843044265714,0.603661289226406,1
"219","GB40463",131,107,251,130,51,142,53,39,140,145,103,143,-0.0661913798414283,4.05634293512254,0.803015763321049,1
"220","GB40466",133,120,307,164,68,220,74,29,153,206,124,203,0.250234972405748,4.35819875322988,0.342851855294698,1
"221","GB40467",158,111,276,146,77,122,86,35,159,181,201,171,0.0900801510302119,4.33180643661668,0.699881662638188,1
"222","GB40473",268,176,318,170,128,200,116,63,209,258,183,207,-0.0705206037000406,4.7701652811054,0.759728028570002,1
"223","GB40478",52,28,19,38,15,28,12,10,17,35,18,46,0.209022112312935,2.01531639639063,0.570149054965746,1
"224","GB40479",133,115,219,147,90,135,72,56,132,136,136,197,0.108202214254064,4.24099143903696,0.625097280924477,1
"225","GB40480",213,117,318,247,65,113,66,33,105,141,122,181,0.0355558264997618,4.27754397354018,0.87553125652059,1
"226","GB40483",124,79,180,103,52,102,56,42,110,149,85,108,-0.0864591794379096,3.82680549138351,0.705464885917157,1
"227","GB40489",4208,5303,2373,3009,4384,1525,2784,4946,3052,12399,3926,2460,-0.170000676361042,9.41363144254611,0.718487653060861,1
"228","GB40490",38,31,77,52,13,51,11,16,33,55,24,53,0.177632078484901,2.44082433241014,0.598455051363996,1
